name,address,LHIN,home_type,short_stay,residents_council,family_council,accreditation,additional_info,city,postal_code,first_inspection_date,total_inspections,5y_inspections,2y_inspections,total_complaints,5y_complaints,2y_complaints,total_critical,5y_critical,2y_critical,total_withOrders,5y_withOrders,2y_withOrders,cleaned_name,outbreak,number_beds,CSDname,CSDuid,latitude,longitude
STRATHMERE LODGE,599 Albert Street Box 5000,South West,Municipal,Yes,Yes,Yes,No,,Strathroy, N7G3J3,2011-01-10,43,20,8,12,6,1,23,9,6,5,3,,strathmere lodge,0,160,Strathroy-Caradoc,3539015,42.95570205,-81.64392804
STREAMWAY VILLA,19 James Street West,Central East,For-Profit,No,Yes,No,Yes,,Cobourg, K9A2J8,2011-02-01,26,13,8,10,3,3,7,3,3,5,3,1,streamway villa,0,59,Cobourg,3514021,43.96205389,-78.16781002
STREETSVILLE CARE COMMUNITY,1742 Bristol Road West,Mississauga Halton,For-Profit,No,Yes,Yes,Yes,,Mississauga, L5M1X9,2010-07-21,24,12,6,6,1,,9,5,4,3,3,1,streetsville care community,0,118,Mississauga,3521005,43.58212646,-79.70532398
SUMAC LODGE,1464 Blackwell Road,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,,Sarnia, N7S5M4,2010-09-08,61,26,11,26,11,5,27,12,6,3,,,sumac lodge,1,100,Sarnia,3538030,43.01031973,-82.34671616
SUMMIT PLACE,850-4Th Street East,South West,For-Profit,No,Yes,Yes,Yes,,Owen Sound, N4K6A3,2010-07-26,29,12,8,10,3,2,11,4,3,4,3,3,summit place,0,119,Owen Sound,3542059,44.55878477,-80.92755656
SUN PARLOR HOME FOR SENIOR CITIZENS,175 Talbot Street East,Erie St. Clair,Municipal,No,Yes,Yes,No,,Leamington, N8H1L9,2010-10-05,55,32,12,14,7,1,30,18,8,9,6,3,sun parlor home for senior citizens,1,206,Leamington,3537003,42.05585245,-82.58946575
SUNNYCREST NURSING HOME,1635 Dundas Street East,Central East,For-Profit,No,Yes,Yes,Yes,,Whitby, L1N2K9,2010-09-30,57,21,6,25,9,3,16,8,2,13,3,2,sunnycrest nursing home,1,136,Whitby,3518009,43.88695065,-78.90906825
SUNNYSIDE HOME,247 Franklin Street North,Waterloo Wellington,Municipal,Yes,Yes,Yes,Yes,,Kitchener, N2G4J3,2010-09-14,85,42,15,30,16,3,48,21,10,5,5,2,sunnyside home,1,263,Kitchener,3530013,43.440994,-80.4451854
SUNSET MANOR HOME FOR SENIOR CITIZENS,49 Raglan Street,North Simcoe Muskoka,Municipal,Yes,Yes,Yes,Yes,,Collingwood, L9Y4X1,2010-11-01,33,23,17,9,5,5,13,7,6,12,11,9,sunset manor home for senior citizens,0,150,Collingwood,3543031,44.50191069,-80.20123672
SUOMI-KOTI TORONTO NURSING HOME,795 Eglinton Avenue East,Toronto Central,Non-Profit,No,Yes,Yes,No,,Toronto, M4G4E4,2011-07-11,14,7,3,2,,,4,3,2,2,1,1,suomi-koti toronto nursing home,0,34,Toronto,3520005,43.7131299,-79.36614148
TALL PINES LONG TERM CARE CENTRE,1001 Peter Robertson Blvd.,Central West,Municipal,No,Yes,Yes,Yes,,Brampton, L6R2Y3,2010-08-17,29,15,10,11,5,3,9,5,5,9,6,3,tall pines long term care centre,1,160,Brampton,3521010,43.75057309,-79.74244701
TECK PIONEER RESIDENCE,145A Government Road East Postal Bag Service 1757,North East,Municipal,No,Yes,Yes,Yes,,Kirkland Lake, P2N3P4,2011-01-24,31,18,8,8,3,3,9,6,3,15,8,1,teck pioneer residence,0,81,Kirkland Lake,3554068,48.15345549,-80.01468335
TELFER PLACE,245 Grand River Street North,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,,Paris, N3L3V8,2010-08-30,27,17,5,6,4,,9,5,3,10,6,1,telfer place,1,45,Brant,3529005,43.20739846,-80.38649816
TEMISKAMING LODGE,100 Bruce Street P.O. Box 1180,North East,For-Profit,Yes,Yes,Yes,Yes,,Haileybury, P0J1K0,2011-04-13,22,10,8,6,1,1,9,5,5,6,2,2,temiskaming lodge,1,83,Temiskaming Shores,3554020,47.43879,-79.63082324
TENDERCARE LIVING CENTRE,1020 McNicoll Avenue,Central East,For-Profit,No,Yes,No,Yes,,Scarborough, M1W2J6,2010-10-13,36,18,9,15,6,3,12,5,4,10,7,2,tendercare living centre,0,254,Toronto,3520005,43.80577041,-79.33598338
TERRACE LODGE,475 Talbot Street East 49462 Talbot Line,South West,Municipal,Yes,Yes,Yes,No,,Aylmer, N5H3A5,2011-05-16,34,23,13,10,6,2,16,11,10,4,3,2,terrace lodge,0,100,Malahide,3534010,42.7710963,-80.9682813
THE BIGNUCOLO RESIDENCE,"c/o Chapleau General Hospital P. O. Box 757, 6 Broomhead Road",North East,Non-Profit,Yes,Yes,No,Yes,,Chapleau, P0M1K0,2011-06-20,13,9,5,1,1,1,5,4,3,3,3,,the bignucolo residence,0,18,Chapleau,3552092,47.841251,-83.414961
THE ELLIOTT LONG TERM CARE RESIDENCE,170 Metcalfe Street,Waterloo Wellington,Non-Profit,No,Yes,Yes,Yes,,Guelph, N1E4Y3,2010-08-04,25,12,5,7,1,1,7,4,3,2,1,,the elliott long term care residence,1,85,Guelph,3523008,43.55803773,-80.25130495
THE FORDWICH VILLAGE NURSING HOME,3063 Adelaide Street,South West,For-Profit,No,Yes,Yes,Yes,,Fordwich, N0G1V0,2010-08-04,19,9,6,4,1,1,7,3,3,6,4,1,the fordwich village nursing home,0,33,Howick,3540046,43.87084494,-81.02944763
THE FOUR SEASONS LODGE,117 Banting Drive,Champlain,Non-Profit,No,Yes,No,Yes,,Deep River, K0J1P0,2011-11-22,12,8,4,3,3,2,2,2,2,1,1,1,the four seasons lodge,0,14,Deep River,3547096,46.09087579,-77.47500669
"THE GROVE, ARNPRIOR AND DISTRICT NURSING HOME",275 Ida Street North,Champlain,Non-Profit,Yes,Yes,Yes,Yes,,Arnprior, K7S3M7,2011-10-04,18,11,5,1,,,10,5,2,3,3,2,"the grove, arnprior and district nursing home",0,61,Arnprior,3547002,45.43909913,-76.36088256
THE HENLEY HOUSE,20 Ernest Street,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,,St. Catharines, L2N7T2,2010-09-22,54,23,12,26,12,5,18,6,6,10,4,1,the henley house,1,160,St. Catharines,3526053,43.18492631,-79.2578661
THE HERITAGE NURSING HOME,1195 Queen Street East,Toronto Central,For-Profit,Yes,Yes,Yes,Yes,,Toronto, M4M1L6,2010-12-02,25,11,7,9,3,3,6,2,2,10,5,3,the heritage nursing home,0,201,Toronto,3520005,43.66272499,-79.33111227
THE JEWISH HOME FOR THE AGED,3560 Bathurst Street,Toronto Central,Non-Profit,No,Yes,Yes,Yes,,North York, M6A2E1,2010-11-09,57,39,26,33,20,14,14,10,8,11,10,6,the jewish home for the aged,1,472,Toronto,3520005,43.7300765,-79.43421181
THE JOHN M. PARROTT CENTRE,309 Bridge Street West,South East,Municipal,Yes,Yes,Yes,Yes,,Napanee, K7R2G4,2010-08-11,32,19,11,10,5,3,18,11,8,,,,the john m. parrott centre,0,168,Greater Napanee,3511015,44.2413403,-76.97028786
THE KENSINGTON GARDENS,25 Brunswick Avenue,Toronto Central,Non-Profit,No,Yes,Yes,Yes,,Toronto, M5S2L9,2011-08-23,41,21,12,21,8,5,11,7,5,10,7,4,the kensington gardens,1,350,Toronto,3520005,43.65819899,-79.40343829
THE MAPLES HOME FOR SENIORS,94 William Street South P.O. Box 400,South West,For-Profit,No,Yes,Yes,Yes,,Tavistock, N0B2R0,2010-08-11,25,11,5,6,4,1,10,4,4,5,2,,the maples home for seniors,0,43,East Zorra-Tavistock,3532038,43.31755486,-80.83826132
THE MEADOWS,12 Tranquility Avenue,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,,Ancaster, L9G5C2,2010-09-23,22,12,6,6,3,1,7,4,3,2,1,1,revera inc. o the meadows long term care centre,0,128,,,,
THE MEADOWS OF DORCHESTER,6623 Kalar Road,Hamilton Niagara Haldimand Brant (Hnhb),Municipal,No,Yes,Yes,Yes,,Niagara Falls, L2H2T3,2011-03-04,20,12,6,7,4,3,8,5,3,1,1,,the meadows of dorchester,1,121,Niagara Falls,3526043,43.07925789,-79.13696046
THE NORFOLK HOSPITAL NURSING HOME,365 West Street,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,Yes,,Simcoe, N3Y1T7,2011-08-12,12,8,3,4,2,1,2,1,1,2,2,,the norfolk hospital nursing home,1,80,Norfolk County,3528052,42.8351656,-80.31432431
THE O'NEILL CENTRE,33 Christie Street,Toronto Central,For-Profit,Yes,Yes,No,Yes,,Toronto, M6G3B1,2011-07-07,31,13,7,17,4,2,10,6,5,,,,the o'neill centre,1,162,Toronto,3520005,43.66476219,-79.4186887
THE PALACE,92 Centre Street,Champlain,For-Profit,No,Yes,Yes,Yes,,Alexandria, K0C1A0,2011-10-13,37,30,18,11,8,6,12,12,12,10,8,2,the palace,0,70,North Glengarry,3501050,45.31136778,-74.63263588
THE PERLEY AND RIDEAU VETERANS' HEALTH CENTRE,1750 Russell Road,Champlain,Non-Profit,Yes,Yes,Yes,Yes,,Ottawa, K1G5Z6,2010-09-01,90,51,20,25,17,7,42,18,8,19,11,3,the perley and rideau veterans' health centre,1,450,Ottawa,3506008,45.40374035,-75.63671562
THE PINES,98 Pine Street,North Simcoe Muskoka,Municipal,No,Yes,No,Yes,,Bracebridge, P1L1N5,2011-10-21,14,11,6,1,,,7,6,5,3,3,1,the pines,0,160,Bracebridge,3544018,45.05169583,-79.29822038
THE SALVATION ARMY OTTAWA GRACE MANOR,1156 Wellington Street,Champlain,Non-Profit,No,Yes,Yes,Yes,,Ottawa, K1Y2Z3,2010-09-20,63,36,15,34,19,6,18,9,6,4,3,1,the salvation army ottawa grace manor,0,128,Ottawa,3506008,45.40088385,-75.72755805
THE VILLA CARE CENTRE,689 Yonge Street,North Simcoe Muskoka,For-Profit,Yes,Yes,No,Yes,,Midland, L4R2E1,2010-11-17,30,16,13,12,5,4,8,3,3,6,5,5,the villa care centre,0,114,Midland,3543074,44.74305645,-79.89055855
THE VILLAGE AT ST. CLAIR,1800 Talbot Road,Erie St. Clair,For-Profit,No,No,No,No,,Windsor, N9A6S4,2014-11-06,63,60,21,23,22,9,33,31,10,8,8,4,the village at st. clair,1,256,Windsor,3537039,42.24341286,-83.0147829
THE VILLAGE AT UNIVERSITY GATES,250 LAURELWOOD DRIVE,Waterloo Wellington,For-Profit,No,No,No,No,,WATERLOO, N2J0E2,2015-12-17,17,17,9,8,8,3,7,7,6,3,3,1,the village at university gates,1,192,Waterloo,3530016,43.4767379,-80.57032185
THE VILLAGE GREEN NURSING HOME,166 Pleasant Drive P.O. Box 94,South East,For-Profit,No,Yes,Yes,Yes,,Selby, K0K2Z0,2010-11-03,30,18,7,8,5,1,12,8,5,3,1,,the village green nursing home,0,66,Greater Napanee,3511015,44.30037081,-76.98430987
THE VILLAGE OF ASPEN LAKE,9855 McHugh Street,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,,Windsor, N8P0A6,2011-05-03,96,48,20,32,19,9,56,23,9,4,4,1,the village of aspen lake,1,192,Windsor,3537039,42.31813568,-82.92003167
THE VILLAGE OF ERIN MEADOWS,2930 Erin Centre Boulevard,Mississauga Halton,For-Profit,No,Yes,Yes,Yes,,Mississauga, L5M7M4,2010-11-08,52,21,17,20,7,6,14,6,6,16,8,6,the village of erin meadows,1,180,Mississauga,3521005,43.55312755,-79.72147048
THE VILLAGE OF GLENDALE CROSSING,3030 Singleton Avenue,South West,For-Profit,No,No,No,Yes,,London, N6L0B6,2010-08-12,112,55,21,50,23,5,42,19,13,20,15,5,the village of glendale crossing,0,192,London,3539036,42.93894787,-81.27180372
THE VILLAGE OF HUMBER HEIGHTS,2245 Lawrence Avenue West,Central,For-Profit,No,Yes,No,Yes,,Etobicoke, M9P3W3,2012-01-31,24,20,12,11,7,6,7,7,5,6,6,4,the village of humber heights,1,192,Toronto,3520005,43.69710409,-79.52690243
THE VILLAGE OF RIVERSIDE GLEN,60 Woodlawn Road East,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,,Guelph, N1H8M8,2010-07-27,110,43,14,64,23,7,31,12,5,19,10,2,the village of riverside glen,1,192,Guelph,3523008,43.56915803,-80.27358416
THE VILLAGE OF SANDALWOOD PARK,425 Great Lakes Drive,Central West,For-Profit,No,Yes,Yes,Yes,,Brampton, L6R2W8,2010-09-27,30,14,7,8,2,2,15,7,5,7,4,2,the village of sandalwood park,1,120,Brampton,3521010,43.7410087,-79.7717325
THE VILLAGE OF TANSLEY WOODS,4100 Upper Middle Road,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,,Burlington, L7M4W8,2010-11-03,32,19,11,10,5,4,8,4,3,9,8,3,the village of tansley woods,0,144,Burlington,3524002,43.38367062,-79.79950979
THE VILLAGE OF TAUNTON MILLS,3800 Brock Street North,Central East,For-Profit,No,Yes,Yes,Yes,,Whitby, L1R3A5,2010-08-23,39,24,15,13,8,7,17,8,5,5,5,2,the village of taunton mills,1,120,Whitby,3518009,43.91312705,-78.95825897
THE VILLAGE OF WENTWORTH HEIGHTS,1620 Upper Wentworth Street,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,,Hamilton, L9B2W3,2010-09-11,26,11,6,9,3,3,6,3,2,8,3,,the village of wentworth heights,1,120,Hamilton,3525005,43.19832568,-79.8734372
THE VILLAGE OF WINSTON PARK,695 Block Line Road,Waterloo Wellington,For-Profit,No,Yes,No,Yes,,Kitchener, N2E3K1,2011-05-18,37,15,7,10,5,2,19,6,4,2,1,,the village of winston park,1,95,Kitchener,3530013,43.41122949,-80.49867572
THE VILLAGE SENIORS COMMUNITY,101-10Th Street,South West,For-Profit,No,Yes,Yes,Yes,,Hanover, N4N1M9,2010-12-17,35,12,9,12,1,1,15,4,4,4,4,3,the village seniors community,0,70,Hanover,3542029,44.15073139,-81.03582166
THE WELLINGTON NURSING HOME,1430 Upper Wellington Street,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,,Hamilton, L9A5H3,2010-07-29,40,24,9,15,8,4,12,6,3,13,8,4,the wellington nursing home,0,102,Hamilton,3525005,43.20948778,-79.8796767
THE WEST NIPISSING GENERAL HOSPITAL,725 Coursol,North East,Non-Profit,No,Yes,No,Yes,,Sturgeon Falls, P2B2Y6,2011-09-22,16,12,6,2,2,1,5,3,3,5,5,1,the west nipissing general hospital,0,48,West Nipissing / Nipissing Ouest,3548055,46.37244272,-79.91782482
THE WEXFORD,1860 Lawrence Avenue East,Central East,Non-Profit,No,Yes,Yes,Yes,,Scarborough, M1R5B1,2010-09-21,57,30,16,23,10,7,23,14,6,14,7,3,the wexford,1,166,Toronto,3520005,43.7439777,-79.30345907
THE WILLOWS ESTATE NURSING HOME,13837 Yonge Street,Central,For-Profit,No,Yes,No,Yes,,Aurora, L4G3G8,2011-10-14,24,16,11,10,5,5,4,3,3,6,4,2,the willows estate nursing home,0,84,Aurora,3519046,43.96549464,-79.45862614
THE WOODLANDS OF SUNSET,920 Pelham Street,Hamilton Niagara Haldimand Brant (Hnhb),Municipal,No,Yes,Yes,Yes,,Welland, L3C1Y5,2011-09-22,21,12,6,4,3,1,9,5,4,4,2,,the woodlands of sunset,1,121,Pelham,3526028,43.01741988,-79.2853459
THOMPSON HOUSE,1 Overland Drive,Central,Non-Profit,No,Yes,Yes,No,,North York, M3C2C3,2011-10-05,16,12,7,6,2,2,4,4,4,6,4,3,thompson house,1,136,Toronto,3520005,43.7324901,-79.34677178
THORNTONVIEW,186 Thornton Road South,Central East,For-Profit,No,Yes,Yes,Yes,,Oshawa, L1J5Y2,2010-08-18,42,21,13,20,13,10,13,4,3,7,2,1,thorntonview,1,154,Oshawa,3518013,43.8859505,-78.8922213
TILBURY MANOR NURSING HOME,16 Fort Street P.O. Box 160,Erie St. Clair,For-Profit,Yes,Yes,Yes,Yes,,Tilbury, N0P2L0,2010-11-10,35,22,9,16,6,2,11,9,5,3,3,,tilbury manor nursing home,0,75,Chatham-Kent,3536020,42.25877139,-82.43044492
TONY STACEY CENTRE FOR VETERANS' CARE,59 Lawson Road,Central East,Non-Profit,Yes,Yes,No,No,,Toronto, M1C2J1,2011-06-27,19,11,7,7,3,2,4,4,4,8,5,2,tony stacey centre for veterans' care,1,100,Toronto,3520005,43.78323942,-79.16339403
TOWNSHIP OF OSGOODE CARE CENTRE,7650 Snake Island Road,Champlain,Non-Profit,Yes,Yes,Yes,No,,Metcalfe, K0A2P0,2011-05-13,21,10,6,9,2,1,8,5,4,,,,township of osgoode care centre,0,100,Ottawa,3506008,45.22188813,-75.50384886
TRENT VALLEY LODGE,195 Bay Street,South East,For-Profit,No,Yes,Yes,Yes,,Trenton, K8V1H9,2011-10-19,45,37,10,19,14,4,10,9,4,13,12,3,trent valley lodge,0,102,Quinte West,3512015,44.10291195,-77.55773544
TRILLIUM COURT,550 Philip Place,South West,For-Profit,No,Yes,Yes,Yes,,Kincardine, N2Z3A6,2011-04-06,25,12,6,8,2,1,8,4,2,4,2,2,trillium court,1,40,Kincardine,3541024,44.18149597,-81.62055194
TRILLIUM MANOR HOME FOR THE AGED,12 Grace Avenue,North Simcoe Muskoka,Municipal,Yes,Yes,Yes,Yes,,Orillia, L3V2K2,2011-10-18,24,14,6,10,5,2,8,5,3,3,1,,trillium manor home for the aged,0,122,Orillia,3543052,44.62900615,-79.42526219
TRILLIUM RETIREMENT AND CARE COMMUNITY,800 Edgar Street,South East,For-Profit,Yes,Yes,Yes,Yes,,Kingston, K7M8S4,2010-08-10,83,42,19,30,13,8,31,20,9,16,6,1,trillium retirement and care community,0,190,Kingston,3510010,44.25040282,-76.55202522
TRILLIUM VILLA NURSING HOME,1221 Michigan Avenue,Erie St. Clair,For-Profit,Yes,Yes,No,Yes,,Sarnia, N7S3Y3,2010-09-21,37,12,8,9,1,,22,8,8,,,,trillium villa nursing home,0,152,Sarnia,3538030,42.99848453,-82.36358616
TRINITY VILLAGE CARE CENTRE,2727 Kingsway Drive,Waterloo Wellington,Non-Profit,No,Yes,Yes,Yes,,Kitchener, N2C1A7,2011-02-22,56,23,9,24,12,4,22,5,3,6,5,2,trinity village care centre,1,150,Kitchener,3530013,43.4298142,-80.4417755
TRUE DAVIDSON ACRES,200 Dawes Road,Toronto Central,Municipal,Yes,Yes,Yes,Yes,,Toronto, M4C5M8,2011-09-07,25,15,10,14,6,4,6,5,5,2,2,2,true davidson acres,1,187,Toronto,3520005,43.6960602,-79.29840606
TSIIONKWANONHSOTE,70 Kawehnoke Apartments Road,Champlain,Non-Profit,No,Yes,No,Yes,,Akwesasne, K6H5R7,2011-11-03,22,15,8,6,2,1,3,1,1,11,10,7,tsiionkwanonhsote,0,50,Akwesasne (Part) 59,3501007,45.0031277,-74.6869469
TUFFORD NURSING HOME,312 Queenston Street,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,No,Yes,,St Catharines, L2P2X4,2010-08-10,15,5,2,6,1,1,2,1,1,3,1,,tufford nursing home,1,64,St. Catharines,3526053,43.15938461,-79.21839749
TULLAMORE CARE COMMUNITY,133 Kennedy Road South,Central West,For-Profit,Yes,Yes,Yes,Yes,,Brampton, L6W3G3,2010-10-13,54,29,18,28,13,8,16,8,6,14,7,3,tullamore care community,1,159,Brampton,3521010,43.68480267,-79.7360306
TWIN LAKES TERRACE LONG TERM CARE COMMUNITY,1310 Murphy Road,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,,Sarnia, N7S6K5,2011-11-30,15,10,7,3,2,2,3,3,3,1,1,1,twin lakes terrace long term care community,0,60,Sarnia,3538030,43.00307673,-82.36506926
TWIN OAKS OF MARYHILL,1360 Maryhill Road,Waterloo Wellington,For-Profit,No,Yes,No,No,,Maryhill, N0B2B0,2010-11-09,18,12,5,8,5,3,3,2,1,2,2,,twin oaks of maryhill,1,31,Woolwich,3530035,43.53642702,-80.39357269
TYNDALL NURSING HOME,1060 Eglinton Avenue East,Mississauga Halton,For-Profit,No,Yes,No,Yes,,Mississauga, L4W1K3,2010-08-12,49,23,9,19,4,2,9,7,6,20,10,2,tyndall nursing home,0,151,Mississauga,3521005,43.62835307,-79.62744866
UKRAINIAN CANADIAN CARE CENTRE,60 Richview Road,Central,Non-Profit,No,Yes,Yes,Yes,,Etobicoke, M9A5E4,2010-09-03,17,12,9,7,3,3,5,4,4,3,3,1,ukrainian canadian care centre,1,152,Toronto,3520005,43.68434358,-79.51869943
UNION VILLA,4300 Highway #7,Central,Non-Profit,No,Yes,Yes,Yes,,Unionville, L3R1L8,2010-08-31,38,20,16,13,6,5,13,9,9,11,5,5,union villa,1,160,Markham,3519036,43.86143002,-79.31443048
UNITED MENNONITE HOME,4024 Twenty-Third Street,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,No,,Vineland, L0R2C0,2010-11-22,28,17,9,13,6,5,10,7,4,4,3,1,united mennonite home,0,128,Lincoln,3526057,43.1576075,-79.38808084
UPPER CANADA LODGE,272 Wellington Street P. O. Box 1390,Hamilton Niagara Haldimand Brant (Hnhb),Municipal,No,Yes,Yes,Yes,,Niagara-On-The-Lake, L0S1J0,2011-03-09,24,11,7,8,3,2,6,2,2,6,2,2,upper canada lodge,0,80,Niagara-on-the-Lake,3526047,43.2502043,-79.0694642
VALLEY MANOR NURSING HOME,88 Mintha Street P. O. Box 880,Champlain,Non-Profit,No,Yes,No,Yes,,Barry's Bay, K0J1B0,2011-05-11,23,11,6,3,2,2,10,4,3,4,,,valley manor nursing home,0,90,Madawaska Valley,3547030,45.48637478,-77.6878502
VALLEY PARK LODGE,6400 Valley Way,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,Yes,Yes,Yes,,Niagara Falls, L2E7E3,2010-09-16,33,16,6,21,8,5,2,2,1,4,3,,valley park lodge,0,65,Niagara Falls,3526043,43.0977475,-79.10129525
VALLEYVIEW HOME,350 Burwell Road,South West,Municipal,Yes,Yes,Yes,Yes,,St. Thomas, N5P0A3,2010-09-16,35,20,15,12,8,6,14,6,6,3,3,2,valleyview home,0,136,St. Thomas,3534021,42.80412155,-81.15985057
VALLEYVIEW RESIDENCE,541 Finch Avenue West,Central,Non-Profit,No,Yes,No,No,,North York, M2R3Y3,2011-01-25,57,23,15,28,11,7,16,5,4,10,5,3,valleyview residence,1,174,Toronto,3520005,43.7708832,-79.44630321
VERA M. DAVIS COMMUNITY CARE CENTRE,80 Allan Drive,Central West,Non-Profit,No,Yes,No,Yes,,Bolton, L7E1P7,2011-12-07,14,9,4,1,1,1,6,3,2,2,2,1,vera m. davis community care centre,0,64,Caledon,3521024,43.87348751,-79.72446771
VERMONT SQUARE,914 Bathurst Street,Toronto Central,For-Profit,Yes,Yes,Yes,Yes,,Toronto, M5R3G5,2012-02-01,21,15,12,6,5,4,8,5,5,3,3,3,vermont square,1,130,Toronto,3520005,43.66830209,-79.41276169
VICTORIA GARDENS LONG TERM CARE,176 Victoria Avenue North,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,,Hamilton, L8L5G1,2010-08-31,18,10,5,7,3,1,7,4,4,2,2,,victoria gardens long term care,0,76,Hamilton,3525005,43.25834859,-79.8542586
VICTORIA MANOR HOME FOR THE AGED,220 Angeline Street South,Central East,Municipal,Yes,Yes,Yes,Yes,,Lindsay, K9V4R2,2011-02-17,47,20,7,14,5,3,18,6,2,9,4,1,victoria manor home for the aged,0,166,Kawartha Lakes,3516010,44.33869223,-78.74399304
VICTORIA VILLAGE MANOR,78 Ross Street,North Simcoe Muskoka,Non-Profit,Yes,Yes,Yes,Yes,,Barrie, L4N1G3,2010-10-12,38,25,22,13,4,4,11,9,8,11,10,10,victoria village manor,0,128,Barrie,3543042,44.391122,-79.69850695
VILLA COLOMBO HOMES FOR THE AGED,40 Playfair Avenue,Central,Non-Profit,Yes,Yes,Yes,Yes,,Toronto, M6B2P9,2010-11-15,58,37,18,22,13,8,25,15,9,13,11,3,villa colombo homes for the aged,1,391,Toronto,3520005,43.71064079,-79.45648501
VILLA COLOMBO SENIORS CENTRE (VAUGHAN),"10443 Highway 27, Kleinburg",Central,Non-Profit,No,Yes,Yes,Yes,,Vaughan, L0J1C0,2010-11-30,47,42,31,28,26,20,11,10,8,12,12,9,villa colombo seniors centre (vaughan),1,160,Vaughan,,43.839618,-79.631803
VILLA FORUM,175 Forum Drive,Mississauga Halton,Non-Profit,No,Yes,Yes,Yes,,Mississauga, L4Z4E5,2010-10-22,41,16,10,18,8,6,10,4,3,4,4,4,villa forum,1,160,Mississauga,3521005,43.61180807,-79.65152977
VILLA LEONARDO GAMBIN,40 Friuli Court,Central,Non-Profit,Yes,Yes,Yes,Yes,,Woodbridge, L4L9T3,2011-06-09,36,15,9,15,4,3,11,6,5,8,2,1,villa leonardo gambin,1,168,Vaughan,3519028,43.7661994,-79.57417395
VILLA MARCONI,1026 Baseline Road,Champlain,Non-Profit,No,Yes,Yes,Yes,,Ottawa, K2C0A6,2011-05-05,54,41,22,26,17,11,16,13,7,8,8,5,villa marconi,1,128,Ottawa,3506008,45.36599844,-75.72703304
VILLA MINTO,241 Eighth Street P.O. Box 280,North East,Non-Profit,No,Yes,Yes,Yes,,Cochrane, P0L1C0,2011-05-03,23,15,5,5,1,,8,6,3,9,6,1,villa minto,0,33,Cochrane,3556042,49.06971147,-81.0205333
VILLAGE ON THE RIDGE,9 Myrtle Street,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,,Ridgetown, N0P2C0,2011-01-18,18,11,8,4,4,4,7,3,3,,,,village on the ridge,0,40,Chatham-Kent,3536020,42.43530685,-81.88026626
VISION '74 INC.,229 Wellington Street,Erie St. Clair,Non-Profit,Yes,Yes,Yes,Yes,,Sarnia, N7T1G9,2010-06-09,41,15,8,6,2,,27,8,6,3,1,1,vision nursing home,1,146,Sarnia,3538030,42.96819132,-82.40364827
WARKWORTH PLACE,97 Mill Street P.O. Box 68,Central East,For-Profit,Yes,Yes,No,Yes,,Warkworth, K0K3K0,2011-07-29,25,14,5,10,7,3,9,4,2,3,1,,warkworth place,0,60,Trent Hills,3514045,44.19868555,-77.89304385
WATERS EDGE CARE COMMUNITY,401 William Street,North East,For-Profit,No,Yes,Yes,Yes,,North Bay, P1A1X5,2011-10-17,43,30,14,16,10,5,18,12,7,5,5,2,waters edge care community,1,148,North Bay,3548044,46.27873103,-79.44783366
WATFORD QUALITY CARE CENTRE,344 Victoria Street,Erie St. Clair,For-Profit,Yes,Yes,Yes,Yes,,Watford, N0M2S0,2010-11-23,19,10,4,2,2,,11,4,3,,,,watford quality care centre,0,63,Warwick,3538043,42.95217584,-81.88556091
WELLESLEY CENTRAL PLACE,160 Wellesley Street East,Toronto Central,Non-Profit,Yes,Yes,Yes,Yes,,Toronto, M4Y1J2,2011-08-11,36,24,10,18,11,3,13,9,6,5,4,2,wellesley central place,1,150,Toronto,3520005,43.66687279,-79.37566588
WELLINGTON HOUSE NURSING HOME,990 Edward Street North P.O. Box 1510,South East,For-Profit,No,Yes,Yes,No,,Prescott, K0E1T0,2010-12-07,58,18,8,28,7,4,16,6,3,17,2,,wellington house nursing home,0,60,Prescott,3507008,44.71934,-75.51915
WELLINGTON PARK CARE CENTRE,802 Hager Avenue,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,Yes,Yes,Yes,,Burlington, L7S1X2,2010-08-25,43,12,6,26,2,1,5,3,3,9,5,1,wellington park care centre,0,132,Burlington,3524002,43.33141191,-79.81188229
