FACILITY_NAME,HCC_CODE,HLTH_AUTH,OWNERSHIP,STREET_ADDRESS,CITY,POSTAL,PHONE,OPERATOR_NAME,OPEN_DATE,COUNCIL,MEETINGS_HELD,PARKING_COSTS,REGULATION,ACCRED_STATUS,ACCRED_EXPIRY,COMPLAINT_CONTACT,COMPLAINT_PHONE,SPENDING_ACCOUNT,FOOD_SERVICE,FOOD_PREP,FOOD_COST_LASTYR,FOOD_COST_CURRENTYR,LANGUAGES,DCH_NURSE_LASTYR,DCH_ALLIED_LASTYR,DCH_TOTAL_LASTYR,DCH_NURSE_CURRENTYR,DCH_ALLIED_CURRENTYR,DCH_TOTAL_CURRENTYR,FEES_CABLE,FEES_TELE,FEES_INTERNET,FEES_OTHER,BEDS_PRIVATE,BEDS_PUBLIC,BEDS_TOTAL,ROOMS_PRIVATE,ROOMS_SEMI,ROOMS_MULTI,COMPLAINTS,SUB_COMPLAINTS,INCIDENT_OUTBREAK,INCIDENT_ABUSE,INCIDENT_FALL,INCIDENT_POISON,INCIDENT_MEDICATION,INCIDENT_WANDERING,INCIDENT_INJURY,INCIDENT_AGGRESSION,INCIDENT_OUTBREAK_100,INCIDENT_ABUSE_100,INCIDENT_FALL_100,INCIDENT_POISON_100,INCIDENT_MEDICATION_100,INCIDENT_WANDERING_100,INCIDENT_INJURY_100,INCIDENT_AGGRESSION_100,ADVERSE_EVENT,AGE,FEMALE,AGE_85_PLUS,AGE_UNDER_65,STAY_LENGTH,DEPRESSION,ADL_DEPENDENT,CPS_SEVERE,DEMENTIA,ABS_PHYS_ABUSIVE,ISE,ISE_LOW,CMI,THERAPY_PT,THERAPY_RT,THERAPY_OT,MEDS_DEPRESSION,MEDS_ANTIPSYCHOTICS,RESTRAINTS,WEBPAGE,SURVEY_URL,MISSING_SURVEY,CONTRACTED_NURSING,CONTRACTED_CARE_AIDES,CONTRACTED_HOUSEKEEPING,CONTRACTED_PLANT,PER_DIEM_LASTYR,PER_DIEM_CURRENTYR,INSPECTIONS,INFRACTIONS,INFRACTIONS_LICENSING,INFRACTIONS_FACILITY,INFRACTIONS_STAFFING,INFRACTIONS_POLICY,INFRACTIONS_CARE,INFRACTIONS_DISEASE,INFRACTIONS_FOOD,INFRACTIONS_MEDICATION,INFRACTIONS_PROGRAM,INFRACTIONS_REPORTING,INFRACTIONS_RIGHTS,INFRACTIONS_OTHER,latitude,longitude,cleaned_name,Facility Name,Total Confirmed Cases,Total Deaths,outbreak
Fair Haven - Burnaby,99C49,Fraser Health,PNP,7557 Sussex Ave.,Burnaby,V5J3V6,(604) 435-0525,Fair Haven Homes Society,1994,"Resident Council, Family Council",Regular Schedule,Yes (fee charged),Community Care & Assisted Living Act,Accredited,November 2022,Nurse Manager,(604) 435-0525x304 or x320,Yes,Operator,Yes,$7.48,$7.53,,2.67,0.33,3.0,2.74,0.34,3.08,No,No,No,"Clothing labelling fee, specialized wheelchairs, hairdressing",0,100,100,100,0,0,2,1,1,5,12,0,0,0,2,6,1.0,5.0,12.0,0.0,0.0,0.0,2.0,6.0,not applicable,87,66.8%,63.7%,0.8%,"1,698",16.7%,43.8%,48.7%,57.8%,11.4%,2.2,58.5%,0.57,9.2%,84.3%,0.0%,36.6%,25.4%,12.6%,http://www.fairhaven.bc.ca/care/,https://surveybcseniors.org/carehomeresults/the-fair-haven-united-church-home-burnaby-fha/,,No,No,No,No,$197.98,$205.01,3.0,5.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,49.21526995,-123.0059056805597,fair haven - burnaby,,,,0
Fair Haven - Vancouver,999HG,Vancouver Coastal Health,PNP,2720 East 48th Ave.,Vancouver,V5S1G7,(604) 433-2939,Fair Haven United Church Homes Society,1979,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,November 2022,Clinical Nurse Manager,(604) 433-2939x2232 or x2222,Yes,Operator,Yes,$7.70,$7.98,,2.7,0.23,2.93,2.85,0.23,3.08,No,No,No,"Clothing labelling fee, specialized wheelchairs, hairdressing",0,82,82,70,6,0,1,1,0,0,9,0,0,2,1,0,0.0,0.0,11.0,0.0,0.0,2.4,1.2,0.0,not applicable,84,65.8%,54.8%,2.6%,"1,174",19.2%,43.3%,32.9%,71.6%,11.3%,2.9,45.4%,0.59,9.8%,67.7%,3.7%,45.7%,25.8%,14.1%,http://www.fairhaven.bc.ca/care/,https://surveybcseniors.org/carehomeresults/the-fair-haven-united-church-home-vancouver-vcha/,,No,No,No,No,$199.74,$213.24,3.0,8.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.225452000000004,-123.03658429999999,fair haven - vancouver,,,,0
Fair Haven - Vancouver - Special Unit,93860,Vancouver Coastal Health,PNP,2720 East 48th Ave.,Vancouver,V5S1G7,(604) 433-2939,Fair Haven United Church Homes Society,1979,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,November 2022,Clinical Nurse Manager,(604) 433-2939x2232 or x2222,Yes,Operator,Yes,$7.60,$8.08,,3.95,0.23,4.18,3.95,0.23,4.18,No,No,No,"Clothing labelling fee, specialized wheelchairs, hairdressing",0,19,19,19,0,0,,,,,,,,,,,,,,,,,,,not applicable,80,27.5%,29.7%,1.4%,273,7.8%,19.5%,66.2%,85.7%,19.5%,2.0,58.4%,0.54,1.3%,59.7%,0.0%,76.6%,75.4%,9.1%,http://www.fairhaven.bc.ca/care/,https://surveybcseniors.org/carehomeresults/the-fair-haven-united-church-home-vancouver-vcha/,,No,No,No,No,$281.61,$272.35,,,,,,,,,,,,,,,49.225452000000004,-123.03658429999999,fair haven - vancouver - special unit,,,,0
Fellburn Care Centre,9A575,Fraser Health,HA,6050 Hastings St.,Burnaby,V5B1R6,(604) 412-6503,Fraser Health,1964,Resident & Family Council (combined),Regular Schedule,Yes (no fee),Hospital Act,Accredited,October 2022,"Marie Van Bergen, Manager Operational Services",(604) 412-6504,Yes,Operator,No,$7.14,$7.07,"English, Cantonese, Mandarin, Punjabi, Tagalog, Spanish, Polish, Hindi, Italian",3.08,0.34,3.43,3.08,0.34,3.42,No,No,No,Bus outing ¿ personal spending money,0,81,81,10,16,10,3,0,0,3,0,0,1,0,0,0,0.0,3.7,0.0,0.0,1.2,0.0,0.0,0.0,not applicable,87,66.8%,64.6%,7.3%,606,15.4%,43.0%,35.5%,51.5%,14.0%,2.2,59.7%,0.65,14.7%,39.6%,4.4%,31.7%,10.4%,2.4%,https://www.fraserhealth.ca/Service-Directory/Service-At-Location/6/4/fellburn-care-centre---residential-care#.XROFJEmouUk,https://surveybcseniors.org/carehomeresults/fellburn-care-centre-fha/,,Yes,Yes,Yes,Yes,,,2.0,5.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,49.280316799999994,-122.9624341,fellburn care centre,,,,0
Finnish Home,999CF,Vancouver Coastal Health,PNP,2288 Harrison Drive,Vancouver,V5P2P6,(604) 325-8241,Finnish Canadian Rest Home Association,1979,Resident & Family Council (combined),Regular Schedule,No ,Community Care & Assisted Living Act,Not Accredited,not applicable,Director of Care / Administrator,(604) 325-8241,Yes,Operator,Yes,$7.39,$8.26,"Finnish, English, Bosnian, Tagalog, Mandarin, Polish, Italian, Punjabi, Japanese, Taiwanese, Farsi, Dutch, Swedish",2.63,0.2,2.83,2.8,0.22,3.02,No,No,No,,0,64,64,64,0,0,0,0,1,0,7,0,0,1,0,0,1.6,0.0,10.9,0.0,0.0,1.6,0.0,0.0,not applicable,86,66.7%,60.1%,1.1%,902,30.4%,36.5%,27.7%,62.7%,5.4%,2.2,61.2%,0.59,20.4%,0.0%,0.4%,54.6%,25.4%,6.3%,https://finncare.ca/our-facilities/finnish-home,https://surveybcseniors.org/carehomeresults/finnish-home-vcha/,,No,No,No,No,$203.46,$214.48,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.20822879999999,-123.06074540000002,finnish home,,,,0
Fir Park Village,9A919,Vancouver Island Health,PNP,4411 Wallace Street,Port Alberni,V9Y7Y5,(250) 724-6541,Alberni-Clayoquot Continuing Care Society,1981,Resident Council,Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,June 2020,Executive Director / Manager,(250) 724-6541x232 / (250) 724-6541x249,Yes,Operator,Yes,$6.79,$7.24,"English, Punjabi",2.9,0.27,3.17,2.92,0.26,3.18,No,No,No,"Specialty equipment, drug not otherwise covered",1,65,66,66,0,0,1,0,2,0,13,0,0,1,1,0,3.0,0.0,19.7,0.0,0.0,1.5,1.5,0.0,not applicable,86,67.9%,58.9%,0.0%,885,31.6%,24.9%,13.0%,63.2%,4.9%,4.7,10.8%,0.55,0.0%,0.0%,0.0%,65.1%,32.5%,0.7%,https://albernicontinuingcare.ca/fir-park-village,https://surveybcseniors.org/carehomeresults/fir-park-village-island/,,No,No,No,No,$214.05,$218.13,5.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,49.250749,-124.79915,fir park village,,,,0
Fischer Place/Mill Site Lodge,9B9DF,Interior Health,HA,555 Cedar Ave. South,100 Mile House,V0K2E0,(250) 395-7696,Interior Health,1987,Resident Council,Regular Schedule,Yes (no fee),Hospital Act & Community Care & Assisted Living Act,Accredited,September 2019,Resident Care Coordinator,(250) 395-7628,Yes,Operator,Primarily,$7.81,$8.53,"English, German, French",2.99,0.31,3.3,3.02,0.37,3.4,No,No,Yes,,0,93,93,93,0,0,0,0,0,0,13,0,0,1,6,0,0.0,0.0,14.0,0.0,0.0,1.1,6.5,0.0,not applicable,84,64.9%,53.1%,3.8%,761,48.1%,26.7%,26.7%,74.5%,7.3%,2.8,41.3%,0.57,0.3%,37.0%,0.3%,60.4%,29.0%,7.0%,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/service.aspx?svcloc=Mill%20Site%20Lodge%20and%20Fischer%20Place,https://surveybcseniors.org/carehomeresults/fischer-placemill-site-lodge-iha/,,No,No,No,No,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.6444141,-121.2939045,fischer place/mill site lodge,,,,0
Fleetwood Place,993E2,Fraser Health,PFP,16011 83rd Ave,Surrey,V4N0N2,(604) 590-6860,Fleetwood Place Holdings Ltd.,2004,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,May 2021,Director of Care,(604) 590-6860 x1108,Yes,Operator,Yes,$5.94,$5.85,"English, French, Spanish, Tagalog, Punjabi, Korean, Mandarin, Cantonese",2.48,0.31,2.79,2.73,0.33,3.06,No,No,,,13,98,111,108,0,0,1,0,0,1,12,0,0,0,0,0,0.0,0.9,10.8,0.0,0.0,0.0,0.0,0.0,not applicable,88,61.7%,66.7%,2.2%,"1,327",9.5%,37.8%,38.1%,50.0%,7.4%,2.6,53.7%,0.58,50.3%,65.9%,0.5%,54.8%,28.2%,19.0%,https://www.fleetwoodplace.ca/,https://surveybcseniors.org/carehomeresults/fleetwood-place-fha/,,No,No,No,No,$216.73,$230.83,2.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,49.153895,-122.778049,fleetwood place,,,,0
Forest View Place,92960,Interior Health,HA,640 Park Dr.,Clearwater,V0E1N1,(250) 674-2244,Interior Health,2002,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Hospital Act,Accredited,September 2019,Residential Care coordinator,(250) 674-4100,Yes,Operator,Primarily,$7.11,$8.37,English,2.98,0.31,3.29,2.97,0.31,3.28,No,No,Yes,,0,21,21,21,0,0,0,0,0,0,2,0,0,0,0,1,0.0,0.0,9.5,0.0,0.0,0.0,0.0,4.8,not applicable,90,52.9%,66.5%,2.4%,"1,317",26.3%,12.3%,14.0%,75.4%,8.8%,2.7,52.6%,0.53,0.0%,1.8%,0.0%,45.6%,35.2%,6.3%,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/service.aspx?svcloc=Forest%20View%20Place,https://surveybcseniors.org/carehomeresults/forest-view-place-iha/,,,,,,,,0.0,7.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,51.64507195,-120.01774781423934,forest view place,,,,0
Fort Langley Seniors Community,9ACEC,Fraser Health,PFP,8838 Glover Road,Langley,V1M2R4,(604) 888-0711,Park Place Seniors Living Inc.,2008,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Hospital Act,Unknown,not available,Director of Care,(604) 888-0711x121,No,Operator,Yes,$5.33,$6.01,"English, Hindi, Polish, French",2.54,0.32,2.86,2.76,0.34,3.1,No,No,No,Clothing labelling fee,5,91,96,68,14,0,4,1,0,0,10,0,0,0,1,1,0.0,0.0,10.4,0.0,0.0,0.0,1.0,1.0,not applicable,90,66.2%,75.7%,0.4%,"1,120",17.0%,38.3%,31.6%,73.5%,5.3%,2.6,37.7%,0.60,25.4%,69.8%,0.0%,47.5%,20.1%,0.0%,https://www.parkplaceseniorsliving.com/find-a-location/british-columbia/lower-mainland/fort-langley/,https://surveybcseniors.org/carehomeresults/fort-langley-seniors-community-fha/,,No,No,,,$225.17,$238.47,10.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,49.113251299999995,-122.6442649,fort langley seniors community,,,,0
Fort Nelson Multi Level Unit,91552,Northern Health,HA,5315 Liard St,Fort Nelson,V0C1R0,(250) 774-8100,Northern Health,1963,No Councils,,Yes (no fee),Hospital Act,Accredited,June 2022,Nurse Manager,(250) 774-8100,No,Operator,Yes,$18.67,$16.84,English,3.18,0.15,3.32,3.21,0.15,3.36,Yes,No,Yes,,0,7,7,7,0,0,,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not applicable,78,57.6%,33.3%,3.0%,"3,872",12.5%,12.5%,0.0%,25.0%,0.0%,3.6,25.0%,0.50,0.0%,0.0%,0.0%,25.0%,8.5%,11.9%,https://www.northernhealth.ca/locations/long-term-care/fort-nelson-hospital,,Residential care survey results for facilities with fewer than 10 respondents are not accessible.,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.80894549999999,-122.7049735049242,fort nelson multi level unit,,,,0
Foyer Maillard,992J9,Fraser Health,PNP,1010 Alderson Avenue,Coquitlam,V3K1W1,(604) 937-5578,Societe Du Foyer Maillard,2016,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Not Accredited,not applicable,Executive Director,(604) 937-5589 ext. 106,Yes,Outside Contractor,Yes,$7.25,$7.37,"English, French, Spanish, Hindi, Romanian, Italian, Farsi, Korean, Mandarin, Cantonese, Tagalog, Filipino",3.0,0.36,3.36,3.0,0.36,3.36,No,No,No,"Transportation, companion services, specialized hygiene products and equipment, clothes labeling, foot care and hair dressing",0,125,125,125,0,0,0,0,0,1,3,0,0,0,0,0,0.0,0.8,2.4,0.0,0.0,0.0,0.0,0.0,not applicable,87,69.4%,62.0%,1.0%,570,32.4%,24.5%,24.5%,64.1%,10.4%,2.6,50.6%,0.56,24.3%,27.6%,0.4%,43.2%,26.2%,4.5%,https://www.foyermaillard.ca/,https://surveybcseniors.org/carehomeresults/foyer-maillard-fha/,,Yes,Yes,Yes,Yes,$217.62,$221.06,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.23926289999999,-122.8662457,foyer maillard,,,,0
Fraser Hope Lodge,9BJC6,Fraser Health,HA,1275-7th Avenue,Hope,V0X1L4,(604) 860-7706,Fraser Health,1991,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Hospital Act,Unknown,not available,Manager,(604) 860-7735,Yes,Outside Contractor,Yes,$8.40,$8.23,"English, French, Spanish, Tagalog, German",2.91,0.26,3.17,2.91,0.26,3.17,No,No,No,,0,50,50,46,2,0,0,0,0,0,3,0,0,0,0,0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,not applicable,89,53.6%,70.0%,3.7%,,34.6%,18.7%,33.0%,67.0%,8.8%,3.1,47.3%,0.59,22.0%,67.0%,4.9%,58.8%,22.5%,2.1%,https://www.fraserhealth.ca/Service-Directory/Service-At-Location/A/9/fraser-hope-lodge---residential-care#.XROQe0mouUk,https://surveybcseniors.org/carehomeresults/fraser-hope-lodge-fha/,,No,No,Yes,No,,,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,49.3773925,-121.42378463532327,fraser hope lodge,,,,0
Fraserview,99BEI,Vancouver Coastal Health,PFP,9580 Williams Road,Richmond,V7A1H2,(604) 274-3510,Kaigo Senior Living Group,1992,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,November 2022,Administrator,(604) 274-3510,Yes,Outside Contractor,Yes,$6.21,$5.93,"English, German, Ukrainian, Polish, Punjabi, Tagalog, Mandarin, Cantonese",2.58,0.19,2.77,2.65,0.19,2.84,No,No,,,0,101,101,33,37,0,0,0,1,0,4,0,0,3,0,0,1.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,not applicable,90,83.7%,80.7%,0.2%,"1,181",18.5%,49.0%,19.0%,75.1%,3.3%,1.9,71.1%,0.57,1.8%,1.0%,0.0%,21.1%,23.1%,3.1%,http://www.kaigo.ca/community/fraserview-intermediate-care-lodge/,https://surveybcseniors.org/carehomeresults/fraserview-retirement-community-vcha/,,RN - No; LPN - Yes,Yes,Yes,No,$212.88,$219.34,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.140789700000006,-123.11415559999999,fraserview,,,,0
Gateway Lodge Residential Care,937I0,Northern Health,HA,1488 20th Ave.,Prince George,V2L0A5,(250) 645-6100,Northern Health,2010,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,July 2022,Manager,(250) 565-5566,Yes,Operator,Yes,$11.60,$11.61,"French, Swahili, Kirundi, Chewa, Ukrainian, Hindi, German, Filipino, Malayan",3.29,0.43,3.72,3.18,0.36,3.54,No,No,No,,0,120,120,120,0,0,1,1,0,0,4,0,1,0,1,0,0.0,0.0,3.3,0.0,0.8,0.0,0.8,0.0,not applicable,80,52.8%,35.9%,12.0%,"1,406",25.6%,22.8%,26.8%,48.1%,5.2%,2.8,44.1%,0.55,0.6%,44.1%,1.2%,62.2%,34.2%,6.6%,https://www.northernhealth.ca/locations/long-term-care/gateway-lodge-long-term-care,https://surveybcseniors.org/carehomeresults/gateway-lodge-complex-care-nha/,,No,No,No,No,,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,53.905584,-122.7520213,gateway lodge residential care,,,,0
George Derby Centre,9BC9J,Fraser Health,PNP,7550 Cumberland St,Burnaby,V3N3X5,(604) 521-2676,George Derby Care Society,1989,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,November 2019,Director of Care,(604) 521-2676,Yes,Operator,Yes,$8.13,$7.78,"English, Punjabi, Hindi, Cantonese, Mandarin, Italian, Polish, Farsi, Croatian, French, Tagalog, Spanish, Portuguese",2.54,0.33,2.87,2.69,0.34,3.03,No,No,No,Clothing labelling fee,0,300,300,284,8,0,5,2,0,3,35,0,0,4,4,2,0.0,1.0,11.7,0.0,0.0,1.3,1.3,0.7,not applicable,87,32.8%,65.9%,1.4%,699,19.2%,28.8%,22.1%,60.5%,18.1%,2.2,60.9%,0.56,0.9%,9.3%,0.6%,40.4%,26.1%,5.9%,http://www.georgederby.ca/,https://surveybcseniors.org/carehomeresults/george-derby-centre-fha/,,Yes,No,No,No,$195.48,$205.38,9.0,34.0,4.0,9.0,3.0,2.0,10.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,49.233602000000005,-122.91648799999999,george derby centre,George Derby Centre,8.0,1.0,1
George Pearson Centre,9A5BF,Vancouver Coastal Health,HA,700 West 57th Ave.,Vancouver,V6P1S1,(604) 321-3231,Vancouver Coastal Health,1952,Resident Council,Regular Schedule,Yes (no fee),Hospital Act,Accredited,September 2020,Manager,(604) 322-8308,Yes,Operator,Yes,$11.14,$11.37,"English, Spanish, Mandarin, Cantonese, Hindi, Tagalog, French, Punjabi",4.85,0.86,5.71,4.85,0.83,5.68,Yes,No,No,,0,114,114,54,13,7,1,1,0,0,3,3,1,3,9,0,0.0,0.0,2.6,2.6,0.9,2.6,7.9,0.0,not applicable,59,24.4%,2.9%,67.5%,"2,042",15.4%,64.6%,31.3%,3.9%,2.5%,3.1,29.4%,0.89,54.5%,56.1%,32.4%,47.4%,24.7%,18.6%,http://www.vch.ca/locations-services/result?res_id=33,https://surveybcseniors.org/carehomeresults/george-pearson-vcha/,,No,No,Yes,No,,,3.0,8.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,49.21877,-123.121144,george pearson centre,,,,0
German Canadian Care Home,999D6,Vancouver Coastal Health,PNP,2010 Harrison Drive,Vancouver,V5P2P6,(604) 713-6500,German Canadian Benevolent Society,1979,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,2020,CEO,(604) 713-6503,Yes,Outside Contractor,Yes,$7.69,$7.70,"English, German, Polish, Hungarian, Mandarin, Cantonese, Tagalog, Farsi, Romanian, Bulgarian, Japanese, Russian, Punjabi",2.58,0.26,2.84,2.67,0.28,2.95,No,Yes,Yes,None,0,132,132,76,29,0,0,0,0,0,14,0,1,5,1,0,0.0,0.0,10.6,0.0,0.8,3.8,0.8,0.0,not applicable,83,47.6%,52.5%,5.4%,688,14.2%,36.4%,37.3%,52.3%,7.2%,2.5,42.4%,0.52,37.5%,76.5%,42.3%,40.1%,40.5%,10.0%,http://www.gcch.ca/,https://surveybcseniors.org/carehomeresults/german-canadian-care-home-vcha/,,No,No,Yes,No,$204.36,$207.70,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.2098793,-123.0651145,german canadian care home,"German Canadian Benevolent Society Home, LTCF",1.0,0.0,1
Gillis House,9AAGI,Interior Health,HA,1699 Tutill Court,Merritt,V1K1C6,(250) 378-3271,Interior Health,1981,"Resident Council, Family Council",,Yes (no fee),Hospital Act & Community Care & Assisted Living Act,Accredited,September 2019,Terri Stockwell,(250) 378-3271,Yes,Outside Contractor,No,$8.80,$9.88,English,2.9,0.3,3.2,2.96,0.47,3.43,No,No,No,,0,74,74,52,7,2,2,1,0,3,11,0,0,1,0,0,0.0,4.1,14.9,0.0,0.0,1.4,0.0,0.0,not applicable,83,59.4%,46.5%,4.7%,484,15.9%,33.6%,29.0%,51.2%,5.7%,2.1,60.8%,0.60,1.4%,0.0%,0.7%,49.5%,34.4%,5.7%,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/service.aspx?svcloc=Gillis%20House,https://surveybcseniors.org/carehomeresults/gillis-house-iha/,,No,No,No,No,,,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,50.107526299999996,-120.7861348,gillis house,,,,0
Glacier View Lodge,99605,Vancouver Island Health,PNP,2450 Back Road,Courtenay,V9N8B5,(250) 338-1451,Glacier View Lodge Society,1982,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,2022,Executive Director,(250) 338-1421 x225,No,Operator,Primarily,$6.52,$6.71,"English, French, Tagalog, Farsi, Spanish, German",2.68,0.34,3.02,2.69,0.39,3.08,No,No,Yes,Clothing labelling fee,0,102,102,102,0,0,2,1,1,1,17,0,0,1,3,2,1.0,1.0,16.7,0.0,0.0,1.0,2.9,2.0,not applicable,81,56.9%,41.7%,7.8%,969,29.0%,20.1%,28.0%,73.5%,11.8%,2.8,41.5%,0.58,25.1%,15.0%,6.4%,60.4%,34.2%,7.2%,https://www.glacierviewlodge.ca/,https://surveybcseniors.org/carehomeresults/glacier-view-lodge-island/,,No,No,No,No,$212.54,$219.36,4.0,8.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,49.690363,-124.96433999999999,glacier view lodge,,,,0
Glengarry Hospital,9A60F,Vancouver Island Health,HA,1780 Fairfield Rd.,Victoria,V8S1G7,(250) 370-8699,Vancouver Island Health,1965,Family Council,Regular Schedule,Yes (fee charged),Hospital Act,Accredited,April 2022,Shelley Gurvey,(250) 370-5736,Yes,Outside Contractor,Yes,$8.69,$8.79,"English, German, Farsi, French, Tagalog, Punjabi, Spanish, Mandarin, Korean",2.89,0.35,3.24,2.9,0.35,3.25,No,No,No,,0,135,135,10,18,34,1,0,,,,,,,,,,,,,,,,,6,82,71.9%,46.3%,9.1%,"1,029",20.1%,36.7%,31.5%,59.7%,10.1%,2.6,48.9%,0.59,0.4%,62.7%,61.4%,43.6%,21.4%,8.8%,https://www.islandhealth.ca/our-locations/long-term-care-locations/glengarry,https://surveybcseniors.org/carehomeresults/glengarry-hospital-island/,,,,,,,,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,48.415282899999994,-123.3318857,glengarry hospital,,,,0
Glenmore Lodge,93GE4,Interior Health,PFP,325 Drysdale Blvd.,Kelowna,V1V1P5,(236) 420-1717,Sienna Senior Living,2017,,,,Community Care & Assisted Living Act,Unknown,not available,Director of Resident Programs,(236) 420-1717,,,,$6.99,$6.79,English,2.8,0.35,3.15,2.9,0.35,3.25,,,,,18,100,118,0,0,0,1,0,0,2,18,0,0,6,2,2,0.0,1.7,15.3,0.0,0.0,5.1,1.7,1.7,not applicable,85,60.7%,59.5%,4.9%,490,9.2%,10.9%,15.6%,44.8%,5.3%,2.9,42.4%,0.55,0.0%,0.2%,36.9%,36.7%,18.9%,3.7%,https://www.siennaliving.ca/long-term-care/british-columbia/glenmore-lodge-care-community,https://surveybcseniors.org/carehomeresults/glenmore-lodge-iha/,,No,No,No,No,$206.68,$213.00,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.9163179,-119.4400778,glenmore lodge,,,,0
Glenwarren Lodge,9B7A0,Vancouver Island Health,PFP,1230 Balmoral Rd,Victoria,V8T1B3,(250) 383-2323,Revera Long Term Care Inc.,1967,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Hospital Act,Accredited,May 2020,Director of Care,(250) 383-2323x225,Yes,Operator,Yes,$6.05,$6.38,"English, French, Afrikaans, Punjabi, Burmese, Tagalog, Polish, Portuguese, Spanish",2.98,0.18,3.16,2.99,0.18,3.17,No,No,Yes,,0,104,104,46,20,11,1,0,,,,,,,,,,,,,,,,,2,86,85.9%,62.8%,2.9%,514,25.3%,31.1%,39.3%,70.4%,8.7%,3.1,34.7%,0.60,1.0%,10.8%,0.0%,54.2%,19.7%,4.2%,https://www.reveraliving.com/long-term-care/locations/glenwarren-lodge,https://surveybcseniors.org/carehomeresults/glenwarren-private-hospital-island/,,No,No,No,No,$223.34,$227.38,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.428388299999995,-123.3486649,glenwarren lodge,,,,0
