OPERATOR_NAME,BUSINESS_NAME,TYPE,STREET_ADDRESS,CITY,POSTAL_CODE,BUSINESS_PHONE,INSPECTION_URL,GOVERNING_ACT,GOVERNING_REGULATION,HEALTH_AUTHORITY,MENTAL_HEALTH,MENTAL_HEALTH_MAX_CAP,HOSPICE,HOSPICE_MAX_CAP,SUBSTANCE_USE,SUBSTANCE_USE_MAX_CAP,LONG_TERM_CARE,LONG_TERM_CARE_MAX_CAP,COMMUNITY_LIVING,COMMUNITY_LIVING_MAX_CAP,ACQUIRED_BRAIN_INJURY,ACQUIRED_BRAIN_INJURY_MAX_CAP,LONGITUDE,LATITUDE
Mary Gregory,CDSCL 25th Avenue,Residential Care,635 25th Avenue S,Creston,V0B 1G0,(250) 428-2001,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,N,,Y,4,N,,-116.4952898,49.0886024
Roger Smith,CDSCL Orchard House,Residential Care,901 Erickson St,Creston,V0B 1G3,(250) 428-2718,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,N,,Y,6,N,,-116.5151824,49.0881948
Dawn Embree,CDSCL Purcell Place,Residential Care,535 18 Ave S,Creston,V0B 1G3,(250) 428-2958,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,N,,Y,4,N,,-116.504221,49.089596
Jessica Barker,Central Okanagan Hospice House,Residential Care,2035 Ethel St,Kelowna,V1Y 2Z6,(250) 862-4126,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,Y,24,N,,N,,N,,N,,-119.4818967,49.8775979
Adrienne Turner,Columbia Garden Care Village,Residential Care,800 10 Ave,Invermere,V0A 1K0,(250) 341-3350,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,Y,34,N,,N,,-116.0331677,50.5076471
Russell East,Columbia House,Residential Care,1030 10 St,Invermere,V0A 1K0,(250) 342-2375,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,Y,35,N,,N,,-116.0333453,50.5065289
Tamara Roscoe,Columbia View Lodge,Residential Care,2920 Laburnum Dr,Trail,V1R 4N2,(250) 364-1271,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,Y,76,N,,N,,-117.6793694,49.09953
Marly McAstocker,Community Connections Eighth Street Home,Residential Care,904 8 St,Revelstoke,V0E 2S0,(250) 837-4427,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,N,,Y,5,N,,-118.1896244,50.9881555
Marly McAstocker,Community Connections Second Street Home,Residential Care,804 2 St W,Revelstoke,V0E 2S0,(250) 837-2061,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,N,,Y,4,N,,-118.2035386,51.0028574
Mark Fleming,Connect Lake Country,Residential Care,11438 Bottom Wood Lake Rd,Lake Country,V4V 1V4,(250) 469-9358,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,N,,N,,Y,42,-119.4033009,50.0482249
Chelci Ward,Coronation Home,Residential Care,1009 Coronation Avenue,Kelowna,V1Y 7A8,(250) 861-7133,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,N,,Y,4,N,,-119.4793851,49.8923387
Debbie Frechette,Country Squire Retirement Villa,Residential Care,9705 87 Street N,Osoyoos,V0H 1V2,(250) 495-6568,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,Y,31,N,,N,,N,,N,,N,,-119.4731812,49.0422212
Noreen Guenther,Creekside Landing,Residential Care,6190 Okanagan Landing Rd,Vernon,V1H 1M3,(250) 549-9550,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,Y,70,N,,N,,-119.3223493,50.2465633
Ben Bellows,Crest View Care Village,Residential Care,800 Cavell Street,Creston,V0B 1G4,(250) 428-9986,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,Y,32,N,,N,,-116.5157147,49.1043599
Anne Winters,David Lloyd Jones Home,Residential Care,934 Bernard Ave,Kelowna,V1Y 6P8,(250) 762-2706,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,Y,64,N,,N,,-119.4815286,49.8869222
Karen Elliott,Delbruck House,Residential Care,307 Delbruck St,Nelson,V1L 5L2,(250) 352-0324,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,N,,Y,3,N,,-117.2877274,49.4813964
Carolyn Creighton,Dixon Place Home,Residential Care,4649 Bolduc Rd,Vernon,V1B 3J1,(250) 545-2503,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,N,,Y,4,N,,-119.22541,50.2790503
Shelly Kopera,Dobie House,Residential Care,3307 26 St,Vernon,V1T 4V2,(250) 542-8746,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,N,,Y,5,N,,-119.2651516,50.2665627
Sandi Lautrup,Down's Residence,Residential Care,1304 43 Avenue,Vernon,V1T 8B2,(250) 545-1837,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,Y,24,N,,Y,24,N,,N,,N,,-119.2501227,50.2743372
Jasper Bailey,Dufferin Group Home,Residential Care,1423 Mt Dufferin Dr,Kamloops,V2E 1A1,(250) 372-2584,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,N,,Y,4,N,,-120.3843445,50.6590596
Deanne Guenette,Eagle Crescent,Residential Care,128 Eagle Crescent,Williams Lake,V2G 5K2,(778) 412-9903,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,N,,Y,4,N,,-122.1625031,52.1190375
Evadene Lovell,Eso Court,Residential Care,4225 Eso Ct,Kelowna,V1W 4A4,(250) 764-8622,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,N,,Y,4,N,,-119.4779984,49.827363
Kim Gordon,F.W. Green Memorial Home,Residential Care,1700 4th Street S,Cranbrook,V1C 6E1,(250) 426-3710,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,Y,60,N,,N,,-115.7573544,49.5052761
Andrew Moreira,Felix Road,Residential Care,295 Felix Rd,Kelowna,V1X 6X8,(250) 491-1229,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,N,,Y,4,N,,-119.3907555,49.9018861
Karen Brunoro,Fischer Place,Residential Care,555 Cedar Avenue,100 Mile House,V0K 2E1,(250) 395-7690,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,Y,28,N,,N,,-121.2928598,51.6393044
Emily Stubbs,Forrest Place,Residential Care,491 Forrest Dr,Warfield,V1R 2H1,(250) 368-3511,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,N,,Y,5,N,,-117.7475746,49.0940859
Bob Bradford,Fruitvale House,Residential Care,1889 Columbia Gardens Rd,Fruitvale,V0G 1L0,(250) 367-2174,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,N,,Y,5,N,,-117.5435526,49.1122882
Dean Wichmann,Garden Manor Rest Home,Residential Care,63 Nicola St W,Kamloops,V2C 1J5,(250) 374-7612,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,Y,24,N,,N,,N,,N,,N,,-120.3408427,50.6729058
Alyshia Morgan,Gateway Crisis Stabilization Unit,Residential Care,517 6 Ave N,Williams Lake,V2G 2G8,(250) 302-3261,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,Y,5,N,,Y,5,N,,N,,N,,-122.1441684,52.1374158
Brad Novak,Gaumont Residence,Residential Care,1070 North Glen Dr,Kamloops,V2B 5C1,(250) 376-3942,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,Y,8,N,,N,,N,,N,,N,,-120.3829343,50.7086212
Jennifer Bouwer,Gillis House,Residential Care,1699 Tutill Court,Merritt,V1K 1C6,(250) 378-3271,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,Y,49,N,,N,,-120.7861348,50.1075263
Ivana Pavlic,Glenmore Lodge,Residential Care,325 Drysdale Blvd,Kelowna,V1V 1P5,(236) 420-1717,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,Y,118,N,,N,,-119.4400778,49.9163179
Lyn Naychuk,Good Samaritan Canada Heron Grove,Residential Care,4900 20 St,Vernon,V1T 9W3,(250) 542-6101 x 32222,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,Y,76,N,,N,,-119.259139,50.2830685
Kim Pereira,Good Samaritan Canada Village by the Station,Residential Care,270 Hastings Avenue,Penticton,V2A 2V6,(250) 490-4949 x 31222,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,Y,100,N,,N,,-119.5957868,49.4844104
Shelley Krebs,"Good Samaritan Canada, Mountainview Village",Residential Care,3070 Burtch Rd,Kelowna,V1W 5G2,(250) 717-3918 x 36222,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,Y,90,N,,N,,-119.4638895,49.8620909
Avis Antonenko,Hardy View Lodge,Residential Care,7649 22 St,Grand Forks,V0H 1H0,(250) 443-2100,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,Y,80,N,,N,,-118.4685184,49.0296805
Alexander Cook,Haven Hill Retirement Centre,Residential Care,415 Haven Hill Rd,Penticton,V2A 4E9,(250) 492-2600,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,Y,152,N,,N,,-119.5810859,49.4969821
Danielle Zimmerman,Hawthorn House,Residential Care,4217 16 Ave,Vernon,V1T 6P2,(250) 260-6254,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,N,,Y,6,N,,-119.3020415,50.2529045
Christine Pool,Hearthstone Manor,Residential Care,2800 40 St,Vernon,V1T 6J7,(250) 545-6636,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,Y,16,N,,N,,-119.2899179,50.2622598
Johanna Evison,Henry M. Durand Manor,Residential Care,803 9 Ave S,Golden,V0A 1H0,(250) 344-3042,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,Y,28,N,,N,,-116.9647897,51.2979317
Noreen Guenther,Heritage Square,Residential Care,3904 27 St,Vernon,V1T 4X7,(250) 545-2060,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,Y,50,N,,N,,-119.26823,50.270687
Michelle McLeod,Highridge House,Residential Care,1099 Singh St,Kamloops,V2B 5E2,(778) 470-5552,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,N,,Y,6,N,,-120.383846,50.7091717
Anita Stolwijk,Hillside Village,Residential Care,2891 15 Avenue Northeast,Salmon Arm,V1E 1G9,(250) 833-5877 x 34222,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,Y,112,N,,N,,-119.252111,50.7112233
Rae Samson,Hilltop House,Residential Care,470 Hilltop Ave,Kamloops,V2B 2S3,(250) 376-3788,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,Y,6,N,,N,,N,,N,,N,,-120.3573526,50.6901083
Jodi Smith,iRecover Okanagan,Residential Care,9816 School Rd,Coldstream,V1B 3C7,(250) 545-3617,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,Y,13,N,,N,,N,,-119.1081637,50.2331663
Joyce Turner,Joseph Creek Care Village,Residential Care,1701 Willowbrook Dr N,Cranbrook,V1C 0A5,(250) 489-0060,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,Y,102,N,,N,,-115.7460108,49.5268727
Tereena Donahue,Jubilee House,Residential Care,113 4 Ave N,Williams Lake,V2G 2C8,(250) 398-7736,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,Y,10,N,,N,,N,,N,,N,,-122.1412297,52.130257
Shanon Shore,Juniper Place Group Home,Residential Care,3508 42 Ave,Vernon,V1T 3J9,(250) 558-3515,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,N,,Y,4,N,,-119.2801154,50.2729382
Lisa Robitaille,Kamloops Seniors Village,Residential Care,1220 Hugh Allan Dr,Kamloops,V1S 2B3,(250) 571-1800,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,Y,114,N,,N,,-120.3729788,50.6499607
Tracy Bathory,Kimberley Special Care Home,Residential Care,386 2 Ave,Kimberley,V1A 2Z6,(250) 427-4807,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,Y,55,N,,N,,-115.9896466,49.6899979
Kimberley Sophonow,Kingfisher Place,Residential Care,4328 Crystal Drive,Vernon,V1T 8V5,(250) 541-6560,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,N,,Y,5,N,,-119.2445371,50.2761527
John De Monte,Knutsford Group Home,Residential Care,3161 Merritt Princeton Highway 5A,Knutsford,V0E 2A0,(250) 372-5214,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,N,,Y,4,N,,-120.3104439,50.603467
Susan Cara,Kootenay Columbia House,Residential Care,114 10 Ave,Castlegar,V1N 1Y4,(250) 365-0943,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,N,,Y,5,N,,-117.6630835,49.3279645
Kyle Piscopo,Kootenay Street Village,Residential Care,620 Kootenay St N,Cranbrook,V1C 3T9,(250) 489-0393,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,Y,36,N,,N,,-115.758538,49.5183259
Jenna Hodak,Lake Country Lodge,Residential Care,10163 Konschuh Road,Lake Country,V4V 2M2,(250) 766-3007,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,Y,49,N,,N,,-119.3984578,50.0291435
Brenda Thomas,Lakeview Lodge,Residential Care,2337 Butt Road,West Kelowna,V4T 3L3,(250) 768-3802,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,Y,114,N,,N,,-119.6237769,49.8370173
Elizabeth Andrews,Lamton Home,Residential Care,650 Middleton Way,Coldstream,V1B 2V5,(250) 503-2333,https://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,Community Care and Assisted Living Act,Residential Care Regulation,Interior Health,N,,N,,N,,N,,Y,5,N,,-119.2547159,50.2318418
