FACILITY_NAME,HCC_CODE,HLTH_AUTH,OWNERSHIP,STREET_ADDRESS,CITY,POSTAL,REGULATION,ACCRED_STATUS,DCH_NURSE_LASTYR,DCH_ALLIED_LASTYR,DCH_TOTAL_LASTYR,DCH_NURSE_CURRENTYR,DCH_ALLIED_CURRENTYR,DCH_TOTAL_CURRENTYR,BEDS_TOTAL,ROOMS_PRIVATE,ROOMS_SEMI,ROOMS_MULTI,COMPLAINTS,SUB_COMPLAINTS,INCIDENT_OUTBREAK,INCIDENT_ABUSE,INCIDENT_FALL,INCIDENT_POISON,INCIDENT_MEDICATION,INCIDENT_WANDERING,INCIDENT_INJURY,INCIDENT_AGGRESSION,INCIDENT_OUTBREAK_100,INCIDENT_ABUSE_100,INCIDENT_FALL_100,INCIDENT_POISON_100,INCIDENT_MEDICATION_100,INCIDENT_WANDERING_100,INCIDENT_INJURY_100,INCIDENT_AGGRESSION_100,AGE,FEMALE,AGE_85_PLUS,AGE_UNDER_65,STAY_LENGTH,DEPRESSION,ADL_DEPENDENT,CPS_SEVERE,DEMENTIA,ABS_PHYS_ABUSIVE,ISE,ISE_LOW,CMI,THERAPY_PT,THERAPY_RT,THERAPY_OT,MEDS_DEPRESSION,MEDS_ANTIPSYCHOTICS,RESTRAINTS,INSPECTIONS,INFRACTIONS,INFRACTIONS_LICENSING,INFRACTIONS_FACILITY,INFRACTIONS_STAFFING,INFRACTIONS_POLICY,INFRACTIONS_CARE,INFRACTIONS_DISEASE,INFRACTIONS_FOOD,INFRACTIONS_MEDICATION,INFRACTIONS_PROGRAM,INFRACTIONS_REPORTING,INFRACTIONS_RIGHTS,INFRACTIONS_OTHER,latitude,longitude,Total Confirmed Cases,Total Deaths,outbreak,RESIDENT_COUNCIL,FAMILY_COUNCIL,BEDS_PRIVATEprop,INCIDENT_OUTBREAK_100_CAT,INFRACTION_DISEASE_CAT
Royal City Manor,91JJ3,Fraser Health,PFP,77 Jamieson Court,New Westminster,V3L5P8,Community Care & Assisted Living Act,Accredited,2.48,0.31,2.79,2.65,0.31,2.96,165,125,21,0,6,2,0,1,10,0,0,1,2,0,0,0.6,6.1,0,0,0.6,1.2,0,85,58.10%,62.20%,4.10%,643,31.40%,23.10%,20.50%,73.30%,5.20%,2.6,49.20%,0.58,5.00%,14.00%,0.00%,35.30%,10.00%,0.00%,12,2,0,1,0,0,0,0,0,0,0,1,0,0,49.2153153,-122.8951618,,,0,TRUE,TRUE,0.696969697,0,0
Saanich Peninsula Hospital Residential Care,9A6B8,Vancouver Island Health,HA,2166 Mt Newton X Rd,Saanichton,V8M2B2,Hospital Act,Accredited,2.97,0.27,3.24,2.98,0.27,3.26,143,17,10,116,0,0,,,,,,,,,,,,,,,,,87,71.60%,69.30%,1.10%,751,15.10%,42.70%,34.10%,62.80%,0.90%,2.9,45.30%,0.6,19.00%,77.60%,33.80%,46.40%,12.50%,7.30%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,48.596018,-123.407115,,,0,TRUE,TRUE,0,unknown,0
Selkirk Seniors Village,93570,Vancouver Island Health,PFP,385 Waterfront Crescent,Victoria,V8T5K7,Community Care & Assisted Living Act,Accredited,2.91,0.22,3.13,2.93,0.27,3.2,217,195,11,0,6,3,0,0,25,0,0,4,5,9,0,0,11.5,0,0,1.8,2.3,4.1,84,58.40%,61.10%,5.20%,851,14.20%,21.20%,25.70%,44.00%,12.30%,3,40.60%,0.56,0.10%,0.10%,0.00%,48.70%,32.90%,14.10%,12,11,1,3,2,0,4,0,0,0,0,1,0,0,48.441914,-123.37798,,,0,TRUE,TRUE,0.147465438,0,0
Shorncliffe,9AHA5,Vancouver Coastal Health,HA,5847 Medusa Street,Sechelt,V0N3A0,Community Care & Assisted Living Act,Accredited,3.1,0.24,3.34,3.13,0.22,3.35,59,59,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3.4,0,0,0,0,0,83,59.60%,52.80%,2.00%,782,15.10%,30.10%,42.90%,67.60%,3.70%,2.7,46.60%,0.53,0.00%,5.90%,2.70%,41.10%,36.90%,6.50%,2,10,0,2,0,2,3,1,1,0,0,1,0,0,49.474191,-123.765,,,0,TRUE,TRUE,0,0,>0
Sidney Care Home,9BHDB,Vancouver Island Health,PFP,9888 Fifth St.,Sidney,V8L2X3,Community Care & Assisted Living Act,Unknown,2.94,0.15,3.09,2.99,0.14,3.13,54,44,5,0,0,0,0,0,4,1,0,3,0,0,0,0,7.4,1.9,0,5.6,0,0,87,79.00%,72.40%,2.50%,797,24.10%,26.80%,34.40%,58.50%,2.20%,1.3,86.60%,0.57,0.40%,0.00%,0.00%,51.80%,6.00%,1.10%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,48.6512125,-123.4010229,,,0,FALSE,TRUE,0,0,0
Silver Kettle Village,93CIA,Interior Health,PFP,2350 72nd Avenue,Grand Forks,V0H1H4,Community Care & Assisted Living Act,Unknown,2.8,0.35,3.15,3,0.35,3.35,42,42,0,0,0,0,0,1,2,0,0,0,0,0,0,2.4,4.8,0,0,0,0,0,81,67.20%,45.00%,8.30%,557,12.60%,15.50%,21.30%,63.80%,0.60%,3.4,29.30%,0.51,5.20%,58.60%,1.70%,48.30%,25.50%,1.60%,1,4,0,1,0,0,1,1,0,0,0,0,1,0,49.0246317,-118.4649688,,,0,TRUE,TRUE,0.047619048,0,>0
Simon Fraser Lodge,9B65F,Northern Health,PFP,2410 Laurier Cres.,Prince George,V2M2B3,Hospital Act,Accredited,2.82,0.32,3.14,3.04,0.32,3.36,130,130,0,0,,,2,0,4,0,0,1,1,2,1.5,0,3.1,0,0,0.8,0.8,1.5,82,60.70%,43.50%,5.60%,"1,049",22.50%,18.10%,30.80%,65.40%,16.50%,2.9,44.00%,0.52,0.00%,1.60%,0.00%,50.00%,27.40%,8.90%,1,7,0,1,0,3,0,0,0,1,1,1,0,0,53.9153784,-122.7642509,,,0,TRUE,TRUE,0,>0,0
Simon K.Y. Lee Seniors Care Home,926I0,Vancouver Coastal Health,PNP,555 Carrall Street,Vancouver,V6B2J8,Community Care & Assisted Living Act,Unknown,2.6,0.23,2.83,2.72,0.27,2.99,114,104,5,0,2,1,0,0,6,0,1,0,2,1,0,0,5.3,0,0.9,0,1.8,0.9,88,70.80%,72.90%,2.50%,"1,594",18.00%,36.70%,22.80%,67.20%,10.40%,3.1,37.00%,0.55,16.70%,0.20%,0.70%,33.00%,20.80%,6.50%,6,3,0,1,1,0,0,0,0,1,0,0,0,0,49.2814788,-123.1043333,,,0,TRUE,TRUE,0.035087719,0,0
Slocan Community Health Centre - The Pavillion,98G52,Interior Health,HA,401 Galena Ave,New Denver,V0G1S0,Community Care & Assisted Living Act,Accredited,2.91,0.3,3.21,2.91,0.3,3.21,28,6,20,0,0,0,0,0,2,0,0,0,1,0,0,0,7.1,0,0,0,3.6,0,87,64.10%,62.70%,2.60%,510,15.70%,25.90%,10.20%,64.80%,2.80%,4.1,25.00%,0.55,31.50%,0.00%,10.20%,49.10%,15.70%,0.00%,1,3,0,0,0,0,0,0,0,1,0,2,0,0,49.9843977,-117.3754623,,,0,TRUE,TRUE,0,0,0
Sluggett House,9373A,Vancouver Island Health,PNP,1336 Marchant Rd.,Brentwood Bay,V8M1G5,Community Care & Assisted Living Act,Accredited,2.71,0.01,2.72,2.44,0.28,2.72,16,16,0,0,0,0,0,0,5,0,0,0,1,0,0,0,31.3,0,0,0,6.3,0,83,54.90%,60.60%,2.80%,519,6.20%,0.00%,7.70%,89.20%,1.50%,3.4,27.70%,0.46,0.00%,0.00%,0.00%,30.80%,9.90%,0.00%,2,0,0,0,0,0,0,0,0,0,0,0,0,0,48.572695,-123.44301,,,0,TRUE,TRUE,0,0,0
Spring Valley Seniors Community,990F2,Interior Health,PFP,355 Terai Court,Kelowna,V1X5X6,Community Care & Assisted Living Act,Unknown,2.8,0.35,3.15,3.01,0.35,3.36,151,114,8,0,3,1,1,1,20,0,0,4,9,4,0.7,0.7,13.2,0,0,2.6,6,2.6,86,61.50%,62.70%,4.60%,675,24.20%,21.70%,22.10%,69.50%,10.90%,2.9,42.20%,0.56,0.30%,27.20%,10.40%,43.30%,23.40%,3.80%,3,9,2,0,0,1,4,1,0,0,0,1,0,0,49.8855029,-119.416278,,,0,TRUE,TRUE,0.006622517,>0,>0
St. Jude's Anglican Home,999GE,Vancouver Coastal Health,PNP,810 West 27th Avenue,Vancouver,V5Z2G7,Community Care & Assisted Living Act,Not Accredited,2.64,0.47,3.11,2.82,0.37,3.19,55,45,5,0,0,0,1,0,3,0,0,0,0,1,1.8,0,5.5,0,0,0,0,1.8,85,83.10%,62.90%,2.40%,638,31.30%,45.50%,42.90%,71.00%,14.70%,2.8,47.80%,0.58,0.00%,84.40%,0.90%,47.80%,39.50%,10.80%,3,3,1,0,0,0,2,0,0,0,0,0,2,0,49.2468877,-123.1227326,,,0,TRUE,TRUE,0.036363636,>0,0
St. Michael's Centre,9A9FB,Fraser Health,PNP,7451 Sussex Avenue,Burnaby,V5J5C2,Hospital Act,Not Accredited,2.96,0.38,3.34,2.96,0.38,3.34,144,20,36,9,2,0,0,2,6,0,0,1,0,0,0,1.4,4.2,0,0,0.7,0,0,84,63.50%,53.80%,3.00%,603,16.90%,41.00%,23.50%,59.40%,7.70%,2,64.60%,0.63,0.80%,43.30%,18.50%,45.60%,17.10%,15.30%,7,5,0,1,1,1,1,1,0,0,0,0,0,0,49.2157228,-123.0052424,,,0,TRUE,TRUE,0,0,>0
St. Vincent's - Brock Fahrni Pavilion,9A587,Vancouver Coastal Health,PNP,4650 Oak St.,Vancouver,V6H4J4,Hospital Act,Accredited,2.92,0.27,3.19,2.92,0.29,3.21,148,12,8,30,0,0,0,0,5,0,0,0,0,1,0,0,3.4,0,0,0,0,0.7,83,32.80%,55.10%,8.90%,741,25.70%,34.50%,30.40%,53.20%,4.90%,2,68.70%,0.59,1.40%,0.20%,0.70%,36.90%,16.50%,2.70%,3,2,0,1,0,0,0,0,0,0,0,1,0,0,49.2432438,-123.123011,,,0,TRUE,FALSE,0,0,0
St. Vincent's - Langara,9C05H,Vancouver Coastal Health,PNP,255 W 62nd Ave,Vancouver,V5X4V4,Hospital Act,Accredited,2.89,0.31,3.2,2.89,0.32,3.21,197,17,8,41,0,0,1,0,12,0,1,4,0,3,0.5,0,6.1,0,0.5,2,0,1.5,85,75.10%,56.00%,4.50%,"1,002",21.20%,40.50%,37.60%,55.70%,4.60%,2.2,62.00%,0.61,12.50%,4.30%,6.30%,31.80%,16.20%,3.90%,2,2,0,0,0,0,1,0,0,0,0,1,0,0,49.2147869,-123.1108188,,,0,TRUE,TRUE,0,>0,0
Stanford Seniors Village,93590,Vancouver Island Health,PFP,250 Craig St,Parksville,V9P0A7,Community Care & Assisted Living Act,Accredited,2.81,0.3,3.11,2.87,0.33,3.2,182,172,5,0,18,8,1,2,25,0,2,12,4,4,0.5,1.1,13.7,0,1.1,6.6,2.2,2.2,84,55.80%,58.10%,6.60%,786,26.90%,21.70%,22.80%,51.30%,8.10%,3,40.20%,0.56,12.40%,11.30%,3.30%,51.50%,36.20%,4.90%,15,6,0,2,1,0,1,1,0,0,0,1,0,0,49.316749,-124.31121,,,0,TRUE,TRUE,0.115384615,>0,>0
Stuart Lake Hospital,928GA,Northern Health,HA,600 Stuart Drive E,Fort St. James,V0J1P0,Hospital Act,Accredited,3.3,0,3.3,3.83,0,3.83,6,6,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,65.20%,73.90%,0.00%,,18.80%,0.00%,37.50%,25.00%,0.00%,3.1,25.00%,0.48,0.00%,0.00%,0.00%,12.50%,5.50%,0.00%,1,3,0,2,0,0,0,0,0,1,0,0,0,0,54.4414052,-124.242352,,,0,FALSE,FALSE,0,0,0
Stuart Nechako Manor,997BF,Northern Health,HA,3277 Hospital Road,Vanderhoof,V0J3A2,Community Care & Assisted Living Act,Accredited,3.2,0.35,3.55,3.1,0.38,3.48,53,45,4,0,1,1,0,1,5,0,0,6,3,0,0,1.9,9.4,0,0,11.3,5.7,0,79,57.10%,35.50%,14.70%,"1,848",26.90%,24.10%,38.60%,60.00%,13.80%,2.7,50.30%,0.57,0.70%,12.40%,2.10%,74.50%,35.90%,6.60%,4,2,1,1,0,0,0,0,0,0,0,0,0,0,54.028787,-124.00926,,,0,TRUE,TRUE,0,0,0
Summerland Seniors Village,92HB0,Interior Health,PFP,12803 Atkinson Road,Summerland,V0H1Z4,Community Care & Assisted Living Act,Accredited,2.8,0.35,3.15,2.85,0.35,3.2,112,105,0,0,3,5,3,1,17,0,1,2,3,0,2.7,0.9,15.2,0,0.9,1.8,2.7,0,87,69.40%,72.30%,1.30%,855,13.60%,29.30%,33.90%,88.60%,15.40%,2.9,38.60%,0.56,0.40%,56.10%,3.60%,51.80%,40.40%,4.00%,7,22,6,1,5,2,5,0,0,0,0,3,0,0,49.6000555,-119.6687918,,,0,TRUE,TRUE,0.330357143,>0,0
Sun Pointe Village,92450,Interior Health,PNP,700 Rutland Road N,Kelowna,V1X7W8,Community Care & Assisted Living Act,Unknown,2.8,0.35,3.15,2.96,0.35,3.31,100,100,0,0,0,0,2,3,8,1,0,3,5,0,2,3,8,1,0,3,5,0,84,69.10%,56.20%,6.00%,984,35.90%,30.40%,45.20%,84.70%,10.40%,2.3,52.10%,0.57,0.00%,46.80%,2.20%,61.40%,25.70%,2.40%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.8958819,-119.3870785,,,0,TRUE,TRUE,0,>0,0
Suncreek Village,9370A,Fraser Health,PFP,13687 62nd Avenue,Surrey,V3X0B5,Community Care & Assisted Living Act,Unknown,2.63,0.37,3,2.99,0.37,3.36,134,120,0,0,1,0,0,1,12,0,0,1,4,0,0,0.7,9,0,0,0.7,3,0,82,65.00%,50.10%,9.80%,849,20.00%,46.20%,34.90%,59.80%,10.30%,1.5,75.60%,0.59,50.60%,55.40%,4.40%,52.60%,35.30%,1.40%,5,1,0,0,0,0,0,0,0,0,0,1,0,0,49.1156408,-122.8450108,,,0,TRUE,TRUE,0.104477612,0,0
Sunnybank Retirement Home,98IDJ,Interior Health,HA,6553 Park Drive,Oliver,V0H1T0,Community Care & Assisted Living Act,Accredited,2.86,0.33,3.19,2.96,0.49,3.45,51,51,0,0,0,0,1,0,10,0,0,0,2,0,2,0,19.6,0,0,0,3.9,0,88,58.80%,74.60%,3.80%,565,29.00%,24.10%,17.30%,54.90%,3.10%,2.5,47.50%,0.57,22.80%,35.20%,6.80%,34.60%,21.00%,5.10%,1,2,0,1,0,0,0,0,0,0,0,1,0,0,49.18796645,-119.5395662,,,0,TRUE,TRUE,0,>0,0
Sunridge Place Seniors Community,93580,Vancouver Island Health,PFP,361 Bundock Ave,Duncan,V9L3P1,Community Care & Assisted Living Act,Not Accredited,2.86,0.22,3.08,3.02,0.23,3.25,160,160,0,0,19,9,1,0,28,0,0,0,5,7,0.6,0,17.5,0,0,0,3.1,4.4,82,60.50%,47.20%,9.10%,"1,228",16.00%,20.60%,25.90%,70.90%,9.10%,2.6,49.50%,0.55,1.40%,0.30%,6.40%,61.40%,26.20%,2.20%,5,10,0,1,1,0,5,0,0,0,0,3,0,0,48.7787315,-123.696975,,,0,TRUE,TRUE,0,>0,0
Sunset Lodge,99ICF,Vancouver Island Health,PNP,952 Arm Street,Esquimalt,V9A4G7,Community Care & Assisted Living Act,Accredited,2.76,0.3,3.06,2.87,0.28,3.15,108,108,0,0,10,1,1,3,15,0,0,6,3,2,0.9,2.8,13.9,0,0,5.6,2.8,1.9,83,59.20%,52.00%,6.40%,862,28.00%,32.00%,45.80%,65.90%,8.90%,2,63.10%,0.55,1.90%,1.60%,0.70%,66.10%,43.30%,2.40%,6,9,0,0,4,0,0,2,0,1,0,2,0,0,48.441883,-123.393387,,,0,TRUE,TRUE,0,>0,>0
Swan Valley Lodge,98F21,Interior Health,HA,818 Vancouver St,Creston,V0B1G4,Hospital Act & Community Care & Assisted Living Act,Accredited,2.94,0.34,3.28,2.98,0.43,3.41,90,90,0,0,0,0,0,0,4,0,2,4,1,0,0,0,4.4,0,2.2,4.4,1.1,0,84,63.20%,49.00%,4.70%,777,18.30%,32.20%,25.70%,71.60%,10.70%,2.9,43.20%,0.56,16.90%,1.50%,0.00%,52.70%,23.60%,7.60%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.0978772,-116.5163929,,,0,TRUE,TRUE,0,0,0
Tabor Home,98H94,Fraser Health,PNP,31944 Sunrise Cres,Abbotsford,V2T1N5,Community Care & Assisted Living Act,Unknown,2.48,0.31,2.79,2.74,0.32,3.06,118,106,6,0,2,0,1,0,9,0,0,2,1,2,0.8,0,7.6,0,0,1.7,0.8,1.7,90,73.60%,76.10%,2.80%,804,17.30%,10.20%,31.60%,76.90%,8.20%,3.2,38.60%,0.57,28.80%,15.10%,0.00%,56.10%,33.60%,4.90%,2,0,0,0,0,0,0,0,0,0,0,0,0,0,49.047016,-122.338899,1,1,1,TRUE,TRUE,0,>0,0
Talarico Place - Castlegar District Community Health Centre,9C0DE,Interior Health,HA,709 10th Street,Castlegar,V1N2H7,Community Care & Assisted Living Act,Accredited,2.79,0.38,3.17,2.85,0.51,3.36,60,38,11,0,1,0,1,2,5,1,0,0,0,0,1.7,3.3,8.3,1.7,0,0,0,0,88,71.70%,72.40%,1.60%,721,24.40%,44.90%,32.70%,57.10%,8.80%,2.4,48.30%,0.6,21.50%,0.00%,1.00%,44.90%,6.60%,0.00%,1,2,0,0,0,0,1,1,0,0,0,0,0,0,49.3144174,-117.6608054,,,0,TRUE,TRUE,0,>0,>0
Terraceview Lodge,9AIHF,Northern Health,HA,4707 Kerby Avenue,Terrace,V8G2W2,Community Care & Assisted Living Act,Accredited,3.5,0.23,3.73,3.25,0.22,3.47,99,95,0,0,0,0,1,0,2,0,0,0,2,0,1,0,2,0,0,0,2,0,81,56.20%,48.60%,12.40%,"1,122",17.90%,25.40%,40.30%,66.70%,12.90%,2.3,55.20%,0.56,3.00%,4.50%,4.00%,36.30%,27.60%,10.30%,1,3,0,3,0,0,0,0,0,0,0,0,0,0,54.533333,-128.59334,,,0,TRUE,TRUE,0,>0,0
The Cascades Care Community,9A599,Fraser Health,PFP,45586 Mcintosh Drive,Chilliwack,V2P7W8,Community Care & Assisted Living Act,Unknown,2.55,0.32,2.87,2.85,0.34,3.19,119,101,9,0,0,0,0,0,16,0,1,0,2,1,0,0,13.4,0,0.8,0,1.7,0.8,88,66.00%,72.30%,3.40%,710,14.80%,27.70%,29.60%,66.60%,13.80%,2.2,64.20%,0.6,0.20%,1.90%,0.00%,59.40%,20.00%,7.10%,1,2,0,0,0,0,1,0,0,0,0,1,0,0,49.1608031,-121.9656901,,,0,TRUE,TRUE,0.109243697,0,0
The Gardens at Qualicum Beach,9C6H8,Vancouver Island Health,PFP,650 Berwick Road North,Qualicum Beach,V9K2T8,Community Care & Assisted Living Act,Accredited,2.87,0.21,3.08,2.92,0.23,3.15,100,86,5,0,6,4,1,3,13,0,1,3,0,1,1,3,13,0,1,3,0,1,87,68.30%,71.30%,3.80%,925,22.70%,19.90%,27.80%,50.90%,4.50%,3.4,37.80%,0.55,3.40%,11.40%,0.00%,44.00%,25.30%,15.60%,6,5,2,1,2,0,0,0,0,0,0,0,0,0,49.348341,-124.43764,,,0,TRUE,TRUE,0.15,>0,0
The Gateby,9AFCB,Interior Health,HA,3000 Gateby Place,Vernon,V1T8V8,Community Care & Assisted Living Act,Accredited,2.9,0.35,3.25,2.96,0.6,3.55,75,75,0,0,0,0,4,0,11,0,0,0,8,3,5.3,0,14.7,0,0,0,10.7,4,85,66.10%,58.20%,1.60%,607,40.90%,38.70%,24.30%,69.60%,7.80%,2.9,40.00%,0.63,15.20%,63.90%,8.70%,51.70%,24.20%,15.20%,1,1,0,1,0,0,0,0,0,0,0,0,0,0,50.2642353,-119.2813015,,,0,TRUE,TRUE,0,>0,0
The Hamlets at Penticton,93510,Interior Health,PFP,103 Duncan Ave West,Penticton,V2A2Y3,Community Care & Assisted Living Act,Unknown,2.8,0.35,3.15,3,0.35,3.35,89,94,2,0,5,0,1,3,2,0,0,4,1,2,1.1,3.4,2.2,0,0,4.5,1.1,2.2,83,62.40%,52.60%,10.80%,"1,684",30.30%,18.00%,18.00%,60.70%,6.70%,3.6,28.10%,0.58,0.00%,11.20%,32.60%,42.70%,24.20%,4.00%,4,1,0,0,0,1,0,0,0,0,0,0,0,0,49.4840616,-119.5897419,,,0,TRUE,TRUE,0.033707865,>0,0
The Hamlets at Westsyde,930H0,Interior Health,PFP,3255 Overlander Drive,Kamloops,V2B0A5,Community Care & Assisted Living Act,Unknown,2.8,0.35,3.15,3,0.35,3.35,112,112,0,0,5,0,2,0,10,0,0,4,4,3,1.8,0,8.9,0,0,3.6,3.6,2.7,81,52.40%,52.70%,20.00%,"1,382",32.10%,14.20%,28.40%,47.40%,4.70%,3.2,31.60%,0.57,3.20%,0.50%,0.00%,58.40%,38.00%,3.80%,3,3,0,1,0,0,2,0,0,0,0,0,0,0,50.770821,-120.341961,,,0,TRUE,TRUE,0.026785714,>0,0
The Heights at Mount View,93F7A,Vancouver Island Health,PNP,3814 Carey Road,Victoria,V8Z4C4,Community Care & Assisted Living Act,Unknown,2.8,0.28,3.08,2.93,0.3,3.24,260,260,0,0,19,11,1,12,32,0,1,19,3,38,0.4,4.6,12.3,0,0.4,7.3,1.2,14.6,83,65.20%,51.70%,5.40%,"1,035",28.40%,29.70%,41.30%,74.90%,12.30%,2.7,43.10%,0.58,0.80%,25.10%,0.20%,57.20%,24.80%,0.20%,9,17,0,1,1,0,5,2,0,0,0,8,0,0,48.459499,-123.38131,,,0,FALSE,TRUE,0,>0,>0
The Madison Care Centre,935IA,Fraser Health,PFP,1399 Foster Avenue,Coquitlam,V3J2N1,Hospital Act,Not Accredited,2.64,0.16,2.8,2.83,0.2,3.03,137,128,9,0,6,1,0,1,5,0,0,0,1,0,0,0.7,3.6,0,0,0,0.7,0,89,87.00%,79.70%,0.00%,"1,069",25.50%,36.10%,34.30%,68.10%,7.50%,2.5,51.70%,0.55,9.90%,6.00%,0.50%,47.80%,16.50%,24.60%,5,1,0,1,0,0,0,0,0,0,0,0,0,0,49.2568192,-122.8931522,,,0,TRUE,TRUE,0.299270073,0,0
The Mayfair,9C3GE,Fraser Health,PNP,33433 Marshall Road,Abbotsford,V2S1K8,Community Care & Assisted Living Act,Not Accredited,2.49,0.3,2.79,3,0.36,3.36,91,80,2,0,1,1,2,0,8,0,0,1,5,2,2.2,0,8.8,0,0,1.1,5.5,2.2,84,68.20%,58.50%,7.40%,838,45.20%,34.30%,32.30%,66.50%,12.90%,2.3,59.70%,0.56,5.60%,5.20%,0.00%,59.70%,19.70%,13.50%,3,3,0,1,1,0,0,1,0,0,0,0,0,0,49.03936815,-122.2976834,,,0,TRUE,TRUE,0.32967033,>0,>0
The Pines,9C373,Northern Health,HA,800 Centre St.,Burns Lake,V0J1E0,Hospital Act,Accredited,3.06,0.47,3.53,3.01,0.43,3.44,36,26,5,0,,,1,0,1,0,0,0,0,0,2.8,0,2.8,0,0,0,0,0,87,71.20%,64.40%,2.30%,34,8.10%,19.90%,35.30%,62.50%,12.50%,3,44.90%,0.53,0.00%,5.90%,22.80%,41.20%,36.00%,7.80%,1,3,0,0,0,0,0,0,0,1,0,2,0,0,54.2365817,-125.7600106,,,0,TRUE,TRUE,0,>0,0
The Priory - Heritage Woods,921JD,Vancouver Island Health,HA,567 Goldstream Ave.,Langford,V9B2W4,Hospital Act,Accredited,3.07,0.22,3.29,3.07,0.22,3.29,75,75,0,0,1,0,,,,,,,,,,,,,,,,,85,78.00%,54.70%,2.40%,925,49.50%,13.00%,31.70%,83.30%,6.10%,2.8,51.90%,0.55,0.00%,84.30%,15.70%,68.60%,38.40%,1.10%,1,1,0,1,0,0,0,0,0,0,0,0,0,0,48.44513565,-123.48828,,,0,TRUE,TRUE,0,unknown,0
The Priory - Hiscock,9A604,Vancouver Island Health,HA,567 Goldstream Ave.,Langford,V9B2W4,Hospital Act,Accredited,3.07,0.22,3.29,3.07,0.22,3.29,75,7,6,14,1,0,,,,,,,,,,,,,,,,,83,76.80%,52.50%,6.10%,428,24.00%,45.20%,42.30%,58.70%,9.00%,3.1,40.40%,0.61,0.00%,73.40%,73.40%,41.70%,14.90%,1.40%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,48.44513565,-123.48828,,,0,TRUE,TRUE,0,unknown,0
The Residence at Clayton Heights,93CAA,Fraser Health,PFP,18788 71st Avenue,Surrey,V4N6L9,Community Care & Assisted Living Act,Not Accredited,2.96,0.23,3.19,3,0.36,3.36,87,87,0,0,3,1,0,0,9,0,0,0,1,0,0,0,10.3,0,0,0,1.1,0,83,42.20%,47.80%,1.70%,632,20.60%,34.10%,16.60%,72.50%,15.20%,2.5,53.30%,0.57,1.70%,22.30%,1.10%,50.40%,28.10%,0.50%,3,2,0,0,1,0,0,0,0,0,0,1,0,0,49.1317703,-122.7026815,5,2,1,TRUE,FALSE,0,0,0
The Residence at Morgan Heights,9375A,Fraser Health,PFP,15955 27th Avenue,Surrey,V3Z3W3,Community Care & Assisted Living Act,Not Accredited,2.8,0.22,3.02,3,0.36,3.36,116,108,4,0,4,1,0,1,2,0,0,0,0,0,0,0.9,1.7,0,0,0,0,0,89,67.40%,78.00%,1.40%,,14.40%,22.70%,15.00%,74.20%,11.00%,3,41.50%,0.56,29.20%,65.70%,5.90%,50.40%,29.50%,3.10%,5,1,0,0,0,1,0,0,0,0,0,0,0,0,49.051178,-122.779875,,,0,FALSE,TRUE,0.224137931,0,0
The Residence in Mission,93F40,Fraser Health,HA,7324 Hurd Street,Mission,V2V3H5,Community Care & Assisted Living Act,Unknown,3.04,0.33,3.37,3.04,0.33,3.37,200,190,5,0,1,0,1,1,17,0,0,0,4,5,0.5,0.5,8.5,0,0,0,2,2.5,85,62.60%,57.70%,4.10%,869,23.90%,31.60%,31.90%,58.00%,13.00%,2.4,56.20%,0.57,4.70%,48.00%,1.40%,52.80%,35.10%,1.60%,7,6,0,0,2,1,1,1,0,0,0,1,0,0,49.135354,-122.330124,,,0,TRUE,TRUE,0,>0,>0
The Views - St. Joseph's General Hospital,9A6DD,Vancouver Island Health,PNP,2137 Comox Avenue,Comox,V9M1P2,Hospital Act,Accredited,2.76,0.35,3.11,2.8,0.37,3.17,145,23,21,13,2,0,,,,,,,,,,,,,,,,,85,75.10%,59.00%,4.20%,624,24.00%,26.20%,18.30%,71.70%,6.10%,3.4,33.70%,0.61,6.80%,27.90%,8.60%,60.30%,26.90%,12.30%,1,2,0,0,1,0,0,0,0,0,0,1,0,0,49.67354215,-124.9422816,,,0,TRUE,TRUE,0,unknown,0
Three Links Care Centre,9AC12,Vancouver Coastal Health,PNP,2934 East 22nd Ave,Vancouver,V5M2Y4,Community Care & Assisted Living Act,Accredited,2.71,0.34,3.05,2.84,0.36,3.2,90,90,0,0,0,0,0,1,9,0,0,6,0,0,0,1.1,10,0,0,6.7,0,0,84,50.80%,52.80%,7.00%,957,24.10%,40.30%,29.70%,68.60%,8.10%,3.7,21.80%,0.59,1.70%,3.40%,7.30%,54.60%,25.40%,1.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49.2503144,-123.0429307,,,0,TRUE,TRUE,0,0,0
